NAME,SERIES_COUNT,PAR_COUNT,VOLUME,WEIGHT,POWER
Tattu 22Ah Li,10,6,359508240.0,524.4000000000001,77700.0
Tattu 22Ah Li,10,7,419426280.0,611.8000000000001,90650.0
Tattu 22Ah Li,10,8,479344320.0,699.2,103600.0
Tattu 22Ah Li,10,9,539262360.0,786.6,116550.0
Tattu 22Ah Li,11,1,65909844.0,96.14,14244.999999999998
Tattu 22Ah Li,11,2,131819688.0,192.28,28489.999999999996
Tattu 22Ah Li,11,3,197729532.0,288.42,42734.99999999999
Tattu 22Ah Li,11,4,263639376.0,384.56,56979.99999999999
Tattu 22Ah Li,11,5,329549220.0,480.7,71224.99999999999
Tattu 22Ah Li,11,6,395459064.0,576.84,85469.99999999999
Tattu 22Ah Li,11,7,461368908.0,672.98,99714.99999999999
Tattu 22Ah Li,11,8,527278752.0,769.12,113959.99999999999
Tattu 22Ah Li,11,9,593188596.0,865.26,128204.99999999999
Tattu 22Ah Li,12,1,71901648.0,104.88,15539.999999999998
Tattu 22Ah Li,12,2,143803296.0,209.76,31079.999999999996
Tattu 22Ah Li,12,3,215704944.0,314.64,46619.99999999999
Tattu 22Ah Li,12,4,287606592.0,419.52,62159.99999999999
Tattu 22Ah Li,12,5,359508240.0,524.4,77699.99999999999
Tattu 22Ah Li,12,6,431409888.0,629.28,93239.99999999999
Tattu 22Ah Li,12,7,503311536.0,734.16,108779.99999999999
Tattu 22Ah Li,12,8,575213184.0,839.04,124319.99999999999
Tattu 22Ah Li,12,9,647114832.0,943.92,139859.99999999997
Tattu 22Ah Li,13,1,77893452.0,113.62,16835.0
Tattu 22Ah Li,13,2,155786904.0,227.24,33670.0
Tattu 22Ah Li,13,3,233680356.0,340.86,50505.0
Tattu 22Ah Li,13,4,311573808.0,454.48,67340.0
Tattu 22Ah Li,13,5,389467260.0,568.1,84175.0
Tattu 22Ah Li,13,6,467360712.0,681.72,101010.0
Tattu 22Ah Li,13,7,545254164.0,795.34,117845.0
Tattu 22Ah Li,13,8,623147616.0,908.96,134680.0
Tattu 22Ah Li,13,9,701041068.0,1022.58,151515.0
Tattu 22Ah Li,14,1,83885256.0,122.36,18130.0
Tattu 22Ah Li,14,2,167770512.0,244.72,36260.0
Tattu 22Ah Li,14,3,251655768.0,367.08,54390.0
Tattu 22Ah Li,14,4,335541024.0,489.44,72520.0
Tattu 22Ah Li,14,5,419426280.0,611.8,90650.0
Tattu 22Ah Li,14,6,503311536.0,734.16,108780.0
Tattu 22Ah Li,14,7,587196792.0,856.52,126910.0
Tattu 22Ah Li,14,8,671082048.0,978.88,145040.0
Tattu 22Ah Li,14,9,754967304.0,1101.24,163170.0
Tattu 25Ah Li,1,1,5991804.0,9.54,1295.0
Tattu 25Ah Li,1,2,11983608.0,19.08,2590.0
Tattu 25Ah Li,1,3,17975412.0,28.619999999999997,3885.0
Tattu 25Ah Li,1,4,23967216.0,38.16,5180.0
Tattu 25Ah Li,1,5,29959020.0,47.699999999999996,6475.0
Tattu 25Ah Li,1,6,35950824.0,57.239999999999995,7770.0
Tattu 25Ah Li,1,7,41942628.0,66.78,9065.0
Tattu 25Ah Li,1,8,47934432.0,76.32,10360.0
Tattu 25Ah Li,1,9,53926236.0,85.85999999999999,11655.0
Tattu 25Ah Li,2,1,11983608.0,19.08,2590.0
Tattu 25Ah Li,2,2,23967216.0,38.16,5180.0
Tattu 25Ah Li,2,3,35950824.0,57.239999999999995,7770.0
Tattu 25Ah Li,2,4,47934432.0,76.32,10360.0
Tattu 25Ah Li,2,5,59918040.0,95.39999999999999,12950.0
Tattu 25Ah Li,2,6,71901648.0,114.47999999999999,15540.0
Tattu 25Ah Li,2,7,83885256.0,133.56,18130.0
Tattu 25Ah Li,2,8,95868864.0,152.64,20720.0
Tattu 25Ah Li,2,9,107852472.0,171.71999999999997,23310.0
Tattu 25Ah Li,3,1,17975412.0,28.619999999999997,3884.9999999999995
Tattu 25Ah Li,3,2,35950824.0,57.239999999999995,7769.999999999999
Tattu 25Ah Li,3,3,53926236.0,85.85999999999999,11654.999999999998
Tattu 25Ah Li,3,4,71901648.0,114.47999999999999,15539.999999999998
Tattu 25Ah Li,3,5,89877060.0,143.1,19424.999999999996
Tattu 25Ah Li,3,6,107852472.0,171.71999999999997,23309.999999999996
Tattu 25Ah Li,3,7,125827884.0,200.33999999999997,27194.999999999996
Tattu 25Ah Li,3,8,143803296.0,228.95999999999998,31079.999999999996
Tattu 25Ah Li,3,9,161778708.0,257.58,34964.99999999999
Tattu 25Ah Li,4,1,23967216.0,38.16,5180.0
Tattu 25Ah Li,4,2,47934432.0,76.32,10360.0
Tattu 25Ah Li,4,3,71901648.0,114.47999999999999,15540.0
Tattu 25Ah Li,4,4,95868864.0,152.64,20720.0
Tattu 25Ah Li,4,5,119836080.0,190.79999999999998,25900.0
Tattu 25Ah Li,4,6,143803296.0,228.95999999999998,31080.0
Tattu 25Ah Li,4,7,167770512.0,267.12,36260.0
Tattu 25Ah Li,4,8,191737728.0,305.28,41440.0
Tattu 25Ah Li,4,9,215704944.0,343.43999999999994,46620.0
Tattu 25Ah Li,5,1,29959020.0,47.699999999999996,6475.0
Tattu 25Ah Li,5,2,59918040.0,95.39999999999999,12950.0
Tattu 25Ah Li,5,3,89877060.0,143.1,19425.0
Tattu 25Ah Li,5,4,119836080.0,190.79999999999998,25900.0
Tattu 25Ah Li,5,5,149795100.0,238.49999999999997,32375.0
Tattu 25Ah Li,5,6,179754120.0,286.2,38850.0
Tattu 25Ah Li,5,7,209713140.0,333.9,45325.0
Tattu 25Ah Li,5,8,239672160.0,381.59999999999997,51800.0
Tattu 25Ah Li,5,9,269631180.0,429.29999999999995,58275.0
Tattu 25Ah Li,6,1,35950824.0,57.239999999999995,7769.999999999999
Tattu 25Ah Li,6,2,71901648.0,114.47999999999999,15539.999999999998
Tattu 25Ah Li,6,3,107852472.0,171.71999999999997,23309.999999999996
Tattu 25Ah Li,6,4,143803296.0,228.95999999999998,31079.999999999996
Tattu 25Ah Li,6,5,179754120.0,286.2,38849.99999999999
Tattu 25Ah Li,6,6,215704944.0,343.43999999999994,46619.99999999999
Tattu 25Ah Li,6,7,251655768.0,400.67999999999995,54389.99999999999
Tattu 25Ah Li,6,8,287606592.0,457.91999999999996,62159.99999999999
Tattu 25Ah Li,6,9,323557416.0,515.16,69929.99999999999
Tattu 25Ah Li,7,1,41942628.0,66.78,9065.0
Tattu 25Ah Li,7,2,83885256.0,133.56,18130.0
Tattu 25Ah Li,7,3,125827884.0,200.34,27195.0
Tattu 25Ah Li,7,4,167770512.0,267.12,36260.0
Tattu 25Ah Li,7,5,209713140.0,333.9,45325.0
Tattu 25Ah Li,7,6,251655768.0,400.68,54390.0
Tattu 25Ah Li,7,7,293598396.0,467.46000000000004,63455.0
Tattu 25Ah Li,7,8,335541024.0,534.24,72520.0
Tattu 25Ah Li,7,9,377483652.0,601.02,81585.0
Tattu 25Ah Li,8,1,47934432.0,76.32,10360.0
Tattu 25Ah Li,8,2,95868864.0,152.64,20720.0
Tattu 25Ah Li,8,3,143803296.0,228.95999999999998,31080.0
Tattu 25Ah Li,8,4,191737728.0,305.28,41440.0
Tattu 25Ah Li,8,5,239672160.0,381.59999999999997,51800.0
Tattu 25Ah Li,8,6,287606592.0,457.91999999999996,62160.0
Tattu 25Ah Li,8,7,335541024.0,534.24,72520.0
Tattu 25Ah Li,8,8,383475456.0,610.56,82880.0
Tattu 25Ah Li,8,9,431409888.0,686.8799999999999,93240.0
Tattu 25Ah Li,9,1,53926236.0,85.85999999999999,11655.0
Tattu 25Ah Li,9,2,107852472.0,171.71999999999997,23310.0
Tattu 25Ah Li,9,3,161778708.0,257.5799999999999,34965.0
Tattu 25Ah Li,9,4,215704944.0,343.43999999999994,46620.0
Tattu 25Ah Li,9,5,269631180.0,429.29999999999995,58275.0
Tattu 25Ah Li,9,6,323557416.0,515.1599999999999,69930.0
Tattu 25Ah Li,9,7,377483652.0,601.0199999999999,81585.0
Tattu 25Ah Li,9,8,431409888.0,686.8799999999999,93240.0
Tattu 25Ah Li,9,9,485336124.0,772.7399999999999,104895.0
Tattu 25Ah Li,10,1,59918040.0,95.39999999999999,12950.0
Tattu 25Ah Li,10,2,119836080.0,190.79999999999998,25900.0
Tattu 25Ah Li,10,3,179754120.0,286.2,38850.0
Tattu 25Ah Li,10,4,239672160.0,381.59999999999997,51800.0
Tattu 25Ah Li,10,5,299590200.0,476.99999999999994,64750.0
Tattu 25Ah Li,10,6,359508240.0,572.4,77700.0
Tattu 25Ah Li,10,7,419426280.0,667.8,90650.0
Tattu 25Ah Li,10,8,479344320.0,763.1999999999999,103600.0
Tattu 25Ah Li,10,9,539262360.0,858.5999999999999,116550.0
Tattu 25Ah Li,11,1,65909844.0,104.94,14244.999999999998
Tattu 25Ah Li,11,2,131819688.0,209.88,28489.999999999996
Tattu 25Ah Li,11,3,197729532.0,314.82,42734.99999999999
Tattu 25Ah Li,11,4,263639376.0,419.76,56979.99999999999
Tattu 25Ah Li,11,5,329549220.0,524.7,71224.99999999999
Tattu 25Ah Li,11,6,395459064.0,629.64,85469.99999999999
Tattu 25Ah Li,11,7,461368908.0,734.5799999999999,99714.99999999999
Tattu 25Ah Li,11,8,527278752.0,839.52,113959.99999999999
Tattu 25Ah Li,11,9,593188596.0,944.46,128204.99999999999
Tattu 25Ah Li,12,1,71901648.0,114.47999999999999,15539.999999999998
Tattu 25Ah Li,12,2,143803296.0,228.95999999999998,31079.999999999996
Tattu 25Ah Li,12,3,215704944.0,343.43999999999994,46619.99999999999
Tattu 25Ah Li,12,4,287606592.0,457.91999999999996,62159.99999999999
Tattu 25Ah Li,12,5,359508240.0,572.4,77699.99999999999
Tattu 25Ah Li,12,6,431409888.0,686.8799999999999,93239.99999999999
Tattu 25Ah Li,12,7,503311536.0,801.3599999999999,108779.99999999999
Tattu 25Ah Li,12,8,575213184.0,915.8399999999999,124319.99999999999
Tattu 25Ah Li,12,9,647114832.0,1030.32,139859.99999999997
Tattu 25Ah Li,13,1,77893452.0,124.01999999999998,16835.0
Tattu 25Ah Li,13,2,155786904.0,248.03999999999996,33670.0
Tattu 25Ah Li,13,3,233680356.0,372.05999999999995,50505.0
Tattu 25Ah Li,13,4,311573808.0,496.0799999999999,67340.0
Tattu 25Ah Li,13,5,389467260.0,620.0999999999999,84175.0
Tattu 25Ah Li,13,6,467360712.0,744.1199999999999,101010.0
Tattu 25Ah Li,13,7,545254164.0,868.1399999999999,117845.0
Tattu 25Ah Li,13,8,623147616.0,992.1599999999999,134680.0
Tattu 25Ah Li,13,9,701041068.0,1116.1799999999998,151515.0
Tattu 25Ah Li,14,1,83885256.0,133.56,18130.0
Tattu 25Ah Li,14,2,167770512.0,267.12,36260.0
Tattu 25Ah Li,14,3,251655768.0,400.68,54390.0
Tattu 25Ah Li,14,4,335541024.0,534.24,72520.0
Tattu 25Ah Li,14,5,419426280.0,667.8,90650.0
Tattu 25Ah Li,14,6,503311536.0,801.36,108780.0
Tattu 25Ah Li,14,7,587196792.0,934.9200000000001,126910.0
Tattu 25Ah Li,14,8,671082048.0,1068.48,145040.0
Tattu 25Ah Li,14,9,754967304.0,1202.04,163170.0
Tattu 19Ah Li,1,1,5991804.0,7.86,1295.0
Tattu 19Ah Li,1,2,11983608.0,15.72,2590.0
Tattu 19Ah Li,1,3,17975412.0,23.580000000000002,3885.0
Tattu 19Ah Li,1,4,23967216.0,31.44,5180.0
Tattu 19Ah Li,1,5,29959020.0,39.300000000000004,6475.0
Tattu 19Ah Li,1,6,35950824.0,47.160000000000004,7770.0
Tattu 19Ah Li,1,7,41942628.0,55.02,9065.0
Tattu 19Ah Li,1,8,47934432.0,62.88,10360.0
Tattu 19Ah Li,1,9,53926236.0,70.74000000000001,11655.0
Tattu 19Ah Li,2,1,11983608.0,15.72,2590.0
Tattu 19Ah Li,2,2,23967216.0,31.44,5180.0
Tattu 19Ah Li,2,3,35950824.0,47.160000000000004,7770.0
Tattu 19Ah Li,2,4,47934432.0,62.88,10360.0
Tattu 19Ah Li,2,5,59918040.0,78.60000000000001,12950.0
Tattu 19Ah Li,2,6,71901648.0,94.32000000000001,15540.0
Tattu 19Ah Li,2,7,83885256.0,110.04,18130.0
Tattu 19Ah Li,2,8,95868864.0,125.76,20720.0
Tattu 19Ah Li,2,9,107852472.0,141.48000000000002,23310.0
Tattu 19Ah Li,3,1,17975412.0,23.580000000000002,3884.9999999999995
Tattu 19Ah Li,3,2,35950824.0,47.160000000000004,7769.999999999999
Tattu 19Ah Li,3,3,53926236.0,70.74000000000001,11654.999999999998
Tattu 19Ah Li,3,4,71901648.0,94.32000000000001,15539.999999999998
Tattu 19Ah Li,3,5,89877060.0,117.9,19424.999999999996
Tattu 19Ah Li,3,6,107852472.0,141.48000000000002,23309.999999999996
Tattu 19Ah Li,3,7,125827884.0,165.06,27194.999999999996
Tattu 19Ah Li,3,8,143803296.0,188.64000000000001,31079.999999999996
Tattu 19Ah Li,3,9,161778708.0,212.22000000000003,34964.99999999999
Tattu 19Ah Li,4,1,23967216.0,31.44,5180.0
Tattu 19Ah Li,4,2,47934432.0,62.88,10360.0
Tattu 19Ah Li,4,3,71901648.0,94.32000000000001,15540.0
Tattu 19Ah Li,4,4,95868864.0,125.76,20720.0
Tattu 19Ah Li,4,5,119836080.0,157.20000000000002,25900.0
Tattu 19Ah Li,4,6,143803296.0,188.64000000000001,31080.0
Tattu 19Ah Li,4,7,167770512.0,220.08,36260.0
Tattu 19Ah Li,4,8,191737728.0,251.52,41440.0
Tattu 19Ah Li,4,9,215704944.0,282.96000000000004,46620.0
Tattu 19Ah Li,5,1,29959020.0,39.300000000000004,6475.0
Tattu 19Ah Li,5,2,59918040.0,78.60000000000001,12950.0
Tattu 19Ah Li,5,3,89877060.0,117.9,19425.0
Tattu 19Ah Li,5,4,119836080.0,157.20000000000002,25900.0
Tattu 19Ah Li,5,5,149795100.0,196.50000000000003,32375.0
Tattu 19Ah Li,5,6,179754120.0,235.8,38850.0
Tattu 19Ah Li,5,7,209713140.0,275.1,45325.0
Tattu 19Ah Li,5,8,239672160.0,314.40000000000003,51800.0
Tattu 19Ah Li,5,9,269631180.0,353.70000000000005,58275.0
Tattu 19Ah Li,6,1,35950824.0,47.160000000000004,7769.999999999999
Tattu 19Ah Li,6,2,71901648.0,94.32000000000001,15539.999999999998
Tattu 19Ah Li,6,3,107852472.0,141.48000000000002,23309.999999999996
Tattu 19Ah Li,6,4,143803296.0,188.64000000000001,31079.999999999996
Tattu 19Ah Li,6,5,179754120.0,235.8,38849.99999999999
Tattu 19Ah Li,6,6,215704944.0,282.96000000000004,46619.99999999999
Tattu 19Ah Li,6,7,251655768.0,330.12,54389.99999999999
Tattu 19Ah Li,6,8,287606592.0,377.28000000000003,62159.99999999999
Tattu 19Ah Li,6,9,323557416.0,424.44000000000005,69929.99999999999
Tattu 19Ah Li,7,1,41942628.0,55.02,9065.0
Tattu 19Ah Li,7,2,83885256.0,110.04,18130.0
Tattu 19Ah Li,7,3,125827884.0,165.06,27195.0
Tattu 19Ah Li,7,4,167770512.0,220.08,36260.0
Tattu 19Ah Li,7,5,209713140.0,275.1,45325.0
Tattu 19Ah Li,7,6,251655768.0,330.12,54390.0
Tattu 19Ah Li,7,7,293598396.0,385.14000000000004,63455.0
Tattu 19Ah Li,7,8,335541024.0,440.16,72520.0
Tattu 19Ah Li,7,9,377483652.0,495.18,81585.0
Tattu 19Ah Li,8,1,47934432.0,62.88,10360.0
Tattu 19Ah Li,8,2,95868864.0,125.76,20720.0
Tattu 19Ah Li,8,3,143803296.0,188.64000000000001,31080.0
Tattu 19Ah Li,8,4,191737728.0,251.52,41440.0
Tattu 19Ah Li,8,5,239672160.0,314.40000000000003,51800.0
Tattu 19Ah Li,8,6,287606592.0,377.28000000000003,62160.0
Tattu 19Ah Li,8,7,335541024.0,440.16,72520.0
Tattu 19Ah Li,8,8,383475456.0,503.04,82880.0
Tattu 19Ah Li,8,9,431409888.0,565.9200000000001,93240.0
Tattu 19Ah Li,9,1,53926236.0,70.74000000000001,11655.0
Tattu 19Ah Li,9,2,107852472.0,141.48000000000002,23310.0
Tattu 19Ah Li,9,3,161778708.0,212.22000000000003,34965.0
Tattu 19Ah Li,9,4,215704944.0,282.96000000000004,46620.0
Tattu 19Ah Li,9,5,269631180.0,353.70000000000005,58275.0
Tattu 19Ah Li,9,6,323557416.0,424.44000000000005,69930.0
Tattu 19Ah Li,9,7,377483652.0,495.18000000000006,81585.0
Tattu 19Ah Li,9,8,431409888.0,565.9200000000001,93240.0
Tattu 19Ah Li,9,9,485336124.0,636.6600000000001,104895.0
Tattu 19Ah Li,10,1,59918040.0,78.60000000000001,12950.0
Tattu 19Ah Li,10,2,119836080.0,157.20000000000002,25900.0
Tattu 19Ah Li,10,3,179754120.0,235.8,38850.0
Tattu 19Ah Li,10,4,239672160.0,314.40000000000003,51800.0
Tattu 19Ah Li,10,5,299590200.0,393.00000000000006,64750.0
Tattu 19Ah Li,10,6,359508240.0,471.6,77700.0
Tattu 19Ah Li,10,7,419426280.0,550.2,90650.0
Tattu 19Ah Li,10,8,479344320.0,628.8000000000001,103600.0
Tattu 19Ah Li,10,9,539262360.0,707.4000000000001,116550.0
Tattu 19Ah Li,11,1,65909844.0,86.46000000000001,14244.999999999998
Tattu 19Ah Li,11,2,131819688.0,172.92000000000002,28489.999999999996
Tattu 19Ah Li,11,3,197729532.0,259.38,42734.99999999999
Tattu 19Ah Li,11,4,263639376.0,345.84000000000003,56979.99999999999
Tattu 19Ah Li,11,5,329549220.0,432.30000000000007,71224.99999999999
Tattu 19Ah Li,11,6,395459064.0,518.76,85469.99999999999
Tattu 19Ah Li,11,7,461368908.0,605.22,99714.99999999999
Tattu 19Ah Li,11,8,527278752.0,691.6800000000001,113959.99999999999
Tattu 19Ah Li,11,9,593188596.0,778.1400000000001,128204.99999999999
Tattu 19Ah Li,12,1,71901648.0,94.32000000000001,15539.999999999998
Tattu 19Ah Li,12,2,143803296.0,188.64000000000001,31079.999999999996
Tattu 19Ah Li,12,3,215704944.0,282.96000000000004,46619.99999999999
Tattu 19Ah Li,12,4,287606592.0,377.28000000000003,62159.99999999999
Tattu 19Ah Li,12,5,359508240.0,471.6,77699.99999999999
Tattu 19Ah Li,12,6,431409888.0,565.9200000000001,93239.99999999999
Tattu 19Ah Li,12,7,503311536.0,660.24,108779.99999999999
Tattu 19Ah Li,12,8,575213184.0,754.5600000000001,124319.99999999999
Tattu 19Ah Li,12,9,647114832.0,848.8800000000001,139859.99999999997
Tattu 19Ah Li,13,1,77893452.0,102.18,16835.0
Tattu 19Ah Li,13,2,155786904.0,204.36,33670.0
Tattu 19Ah Li,13,3,233680356.0,306.54,50505.0
Tattu 19Ah Li,13,4,311573808.0,408.72,67340.0
Tattu 19Ah Li,13,5,389467260.0,510.90000000000003,84175.0
Tattu 19Ah Li,13,6,467360712.0,613.08,101010.0
Tattu 19Ah Li,13,7,545254164.0,715.26,117845.0
Tattu 19Ah Li,13,8,623147616.0,817.44,134680.0
Tattu 19Ah Li,13,9,701041068.0,919.6200000000001,151515.0
Tattu 19Ah Li,14,1,83885256.0,110.04,18130.0
Tattu 19Ah Li,14,2,167770512.0,220.08,36260.0
Tattu 19Ah Li,14,3,251655768.0,330.12,54390.0
Tattu 19Ah Li,14,4,335541024.0,440.16,72520.0
Tattu 19Ah Li,14,5,419426280.0,550.2,90650.0
Tattu 19Ah Li,14,6,503311536.0,660.24,108780.0
Tattu 19Ah Li,14,7,587196792.0,770.2800000000001,126910.0
Tattu 19Ah Li,14,8,671082048.0,880.32,145040.0
Tattu 19Ah Li,14,9,754967304.0,990.36,163170.0
Avionic 20 Ah Li,1,1,11300222.04,11.43,700.0
Avionic 20 Ah Li,1,2,22600444.08,22.86,1400.0
Avionic 20 Ah Li,1,3,33900666.12,34.29,2100.0
Avionic 20 Ah Li,1,4,45200888.16,45.72,2800.0
Avionic 20 Ah Li,1,5,56501110.199999996,57.15,3500.0
Avionic 20 Ah Li,1,6,67801332.24,68.58,4200.0
Avionic 20 Ah Li,1,7,79101554.28,80.00999999999999,4900.0
Avionic 20 Ah Li,1,8,90401776.32,91.44,5600.0
Avionic 20 Ah Li,1,9,101701998.35999998,102.87,6300.0
Avionic 20 Ah Li,2,1,22600444.08,22.86,1400.0
Avionic 20 Ah Li,2,2,45200888.16,45.72,2800.0
Avionic 20 Ah Li,2,3,67801332.24,68.58,4200.0
Avionic 20 Ah Li,2,4,90401776.32,91.44,5600.0
Avionic 20 Ah Li,2,5,113002220.39999999,114.3,7000.0
Avionic 20 Ah Li,2,6,135602664.48,137.16,8400.0
Avionic 20 Ah Li,2,7,158203108.56,160.01999999999998,9800.0
Avionic 20 Ah Li,2,8,180803552.64,182.88,11200.0
Avionic 20 Ah Li,2,9,203403996.71999997,205.74,12600.0
Avionic 20 Ah Li,3,1,33900666.12,34.29,2100.0
Avionic 20 Ah Li,3,2,67801332.24,68.58,4200.0
Avionic 20 Ah Li,3,3,101701998.35999998,102.87,6300.0
Avionic 20 Ah Li,3,4,135602664.48,137.16,8400.0
Avionic 20 Ah Li,3,5,169503330.6,171.45,10500.0
Avionic 20 Ah Li,3,6,203403996.71999997,205.74,12600.0
Avionic 20 Ah Li,3,7,237304662.83999997,240.03,14700.0
Avionic 20 Ah Li,3,8,271205328.96,274.32,16800.0
Avionic 20 Ah Li,3,9,305105995.08,308.61,18900.0
Avionic 20 Ah Li,4,1,45200888.16,45.72,2800.0
Avionic 20 Ah Li,4,2,90401776.32,91.44,5600.0
Avionic 20 Ah Li,4,3,135602664.48,137.16,8400.0
Avionic 20 Ah Li,4,4,180803552.64,182.88,11200.0
Avionic 20 Ah Li,4,5,226004440.79999998,228.6,14000.0
Avionic 20 Ah Li,4,6,271205328.96,274.32,16800.0
Avionic 20 Ah Li,4,7,316406217.12,320.03999999999996,19600.0
Avionic 20 Ah Li,4,8,361607105.28,365.76,22400.0
Avionic 20 Ah Li,4,9,406807993.43999994,411.48,25200.0
Avionic 20 Ah Li,5,1,56501110.199999996,57.15,3500.0
Avionic 20 Ah Li,5,2,113002220.39999999,114.3,7000.0
Avionic 20 Ah Li,5,3,169503330.6,171.45,10500.0
