        55x10_2_2000_51_760                                 (55x10_2_2000_51_760.dat)

         PROP RPM =       1000

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2113      0.1829       7.400     466.346      61.575  
         4.5        0.09      0.0975      0.2123      0.1870       7.566     476.878      61.845  
         8.9        0.17      0.1929      0.2132      0.1898       7.683     484.224      62.115  
        13.4        0.26      0.2847      0.2135      0.1932       7.821     492.898      62.205  
        17.9        0.34      0.3750      0.2132      0.1953       7.905     498.297      62.137  
        22.4        0.43      0.4557      0.2115      0.1993       8.066     508.387      61.620  
        26.8        0.52      0.5290      0.2085      0.2031       8.220     518.034      60.743  
        31.3        0.60      0.5983      0.2042      0.2052       8.305     523.433      59.507  
        35.8        0.69      0.6558      0.1978      0.2072       8.387     528.567      57.619  
        40.3        0.77      0.7089      0.1896      0.2068       8.368     527.416      55.258  
        44.7        0.86      0.7544      0.1794      0.2043       8.267     521.043      52.268  
        49.2        0.94      0.7949      0.1674      0.1990       8.054     507.590      48.784  
        53.7        1.03      0.8283      0.1535      0.1909       7.728     487.057      44.715  
        58.2        1.12      0.8568      0.1377      0.1795       7.263     457.761      40.128  
        62.6        1.20      0.8783      0.1210      0.1657       6.704     422.535      35.250  
        67.1        1.29      0.8961      0.1039      0.1494       6.047     381.025      30.282  
        71.6        1.37      0.9097      0.0864      0.1305       5.285     333.054      25.179  
        76.1        1.46      0.9181      0.0686      0.1091       4.415     278.267      19.986  
        80.5        1.55      0.9176      0.0503      0.0849       3.434     216.401      14.673  
        85.0        1.63      0.8968      0.0317      0.0578       2.337     147.365       9.249  
        89.5        1.72      0.7885      0.0127      0.0278       1.124      70.824       3.714  



         PROP RPM =       1200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2112      0.1841      12.875     676.197      88.597  
         4.5        0.07      0.0817      0.2123      0.1859      13.000     682.835      89.069  
         8.9        0.14      0.1624      0.2132      0.1880      13.146     690.447      89.474  
        13.4        0.21      0.2411      0.2139      0.1904      13.319     699.563      89.744  
        17.9        0.29      0.3170      0.2140      0.1934      13.517     709.918      89.789  
        22.4        0.36      0.3890      0.2135      0.1964      13.732     721.247      89.564  
        26.8        0.43      0.4565      0.2121      0.1996      13.960     732.930      88.979  
        31.3        0.50      0.5188      0.2098      0.2026      14.175     744.171      88.013  
        35.8        0.57      0.5756      0.2064      0.2053      14.362     754.084      86.596  
        40.3        0.64      0.6269      0.2018      0.2074      14.496     761.607      84.663  
        44.7        0.72      0.6762      0.1961      0.2076      14.510     762.403      82.280  
        49.2        0.79      0.7168      0.1888      0.2074      14.496     761.607      79.200  
        53.7        0.86      0.7551      0.1802      0.2049      14.336     752.756      75.603  
