        69x26_2_600_41_330                                 (69x26_2_600_41_330.dat)

         PROP RPM =       300

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3009      0.6119       2.077     436.430      19.547  
         4.5        0.23      0.1150      0.3130      0.6212       2.109     443.068      20.336  
         8.9        0.46      0.2329      0.3309      0.6486       2.202     462.628      21.494  
        13.4        0.68      0.3482      0.3534      0.6949       2.360     495.730      22.953  
        17.9        0.91      0.4572      0.3749      0.7486       2.541     533.966      24.347  
        22.4        1.14      0.5564      0.3907      0.8016       2.721     571.758      25.381  
        26.8        1.37      0.6355      0.3938      0.8489       2.882     605.568      25.583  
        31.3        1.60      0.7027      0.3852      0.8757       2.973     624.686      25.021  
        35.8        1.83      0.7599      0.3644      0.8757       2.973     624.686      23.672  
        40.3        2.05      0.8098      0.3339      0.8469       2.875     604.063      21.685  
        44.7        2.28      0.8417      0.2933      0.7953       2.701     567.333      19.053  
        49.2        2.51      0.8677      0.2508      0.7255       2.463     517.503      16.287  
        53.7        2.74      0.8871      0.2060      0.6361       2.160     453.689      13.383  
        58.2        2.97      0.8971      0.1591      0.5261       1.786     375.272      10.332  
        62.6        3.20      0.8890      0.1098      0.3949       1.341     281.631       7.135  
        67.1        3.42      0.8267      0.0583      0.2415       0.820     172.236       3.786  
        71.6        3.65      0.2450      0.0044      0.0652       0.221      46.520       0.284  



         PROP RPM =       360

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3010      0.6111       3.586     627.783      28.146  
         4.5        0.19      0.0957      0.3108      0.6178       3.625     634.598      29.068  
         8.9        0.38      0.1940      0.3245      0.6363       3.733     653.628      30.349  
        13.4        0.57      0.2913      0.3420      0.6699       3.931     688.146      31.990  
        17.9        0.76      0.3874      0.3615      0.7099       4.165     729.124      33.811  
        22.4        0.95      0.4775      0.3791      0.7550       4.429     775.591      35.452  
        26.8        1.14      0.5573      0.3911      0.8009       4.699     822.765      36.599  
        31.3        1.33      0.6256      0.3953      0.8410       4.934     863.833      36.959  
        35.8        1.52      0.6830      0.3903      0.8691       5.100     893.040      36.487  
        40.3        1.71      0.7338      0.3768      0.8790       5.158     902.776      35.250  
        44.7        1.90      0.7783      0.3559      0.8697       5.103     893.040      33.294  
        49.2        2.09      0.8165      0.3278      0.8399       4.928     862.682      30.664  
        53.7        2.28      0.8428      0.2939      0.7958       4.669     817.455      27.494  
        58.2        2.47      0.8650      0.2585      0.7388       4.336     759.040      24.189  
        62.6        2.66      0.8829      0.2217      0.6686       3.922     686.729      20.734  
        67.1        2.85      0.8954      0.1833      0.5841       3.428     599.992      17.148  
        71.6        3.04      0.8997      0.1434      0.4851       2.846     498.208      13.414  
        76.1        3.23      0.8882      0.1019      0.3709       2.176     381.025       9.532  
        80.5        3.42      0.8337      0.0588      0.2413       1.416     247.821       5.497  
        85.0        3.61      0.5273      0.0140      0.0958       0.562      98.420       1.307  



         PROP RPM =       420

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3011      0.6106       5.689     853.654      38.330  
         4.5        0.16      0.0819      0.3092      0.6156       5.736     860.735      39.364  
         8.9        0.33      0.1660      0.3203      0.6290       5.860     879.322      40.780  
        13.4        0.49      0.2504      0.3342      0.6529       6.083     912.512      42.556  
        17.9        0.65      0.3336      0.3506      0.6853       6.385     958.536      44.625  
        22.4        0.82      0.4127      0.3666      0.7241       6.747    1012.525      46.693  
        26.8        0.98      0.4892      0.3811      0.7620       7.099    1065.630      48.514  
        31.3        1.14      0.5581      0.3915      0.8007       7.460    1119.619      49.840  
        35.8        1.30      0.6147      0.3949      0.8376       7.803    1170.954      50.267  
        40.3        1.47      0.6703      0.3938      0.8619       8.030    1205.472      50.132  
        44.7        1.63      0.7150      0.3846      0.8769       8.169    1225.828      48.963  
        49.2        1.79      0.7557      0.3698      0.8775       8.176    1226.713      47.075  
        53.7        1.96      0.7907      0.3492      0.8639       8.049    1208.127      44.467  
        58.2        2.12      0.8213      0.3236      0.8349       7.779    1167.413      41.185  
        62.6        2.28      0.8435      0.2944      0.7964       7.421    1113.424      37.476  
        67.1        2.45      0.8629      0.2641      0.7486       6.975    1046.158      33.631  
        71.6        2.61      0.8792      0.2328      0.6908       6.436     965.616      29.652  
        76.1        2.77      0.8920      0.2004      0.6227       5.801     870.559      25.516  
        80.5        2.93      0.9001      0.1669      0.5440       5.069     760.545      21.244  
        85.0        3.10      0.9008      0.1322      0.4544       4.234     635.307      16.825  
        89.5        3.26      0.8875      0.0962      0.3536       3.295     494.403      12.254  
        94.0        3.42      0.8391      0.0591      0.2413       2.249     337.390       7.531  
        98.4        3.59      0.6369      0.0208      0.1173       1.093     164.093       2.653  



         PROP RPM =       480

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3011      0.6101       8.486    1114.309      50.065  
         4.5        0.14      0.0716      0.3081      0.6142       8.541    1121.390      51.234  
         8.9        0.29      0.1450      0.3173      0.6243       8.682    1139.976      52.763  
        13.4        0.43      0.2191      0.3287      0.6420       8.929    1172.724      54.674  
        17.9        0.57      0.2920      0.3422      0.6687       9.300    1221.403      56.899  
        22.4        0.71      0.3661      0.3577      0.6968       9.692    1272.737      59.484  
        26.8        0.86      0.4347      0.3713      0.7311      10.168    1334.692      61.733  
        31.3        1.00      0.4978      0.3826      0.7675      10.673    1401.073      63.621  
        35.8        1.14      0.5586      0.3918      0.8006      11.134    1462.143      65.172  
        40.3        1.28      0.6091      0.3949      0.8328      11.582    1520.558      65.712  
        44.7        1.43      0.6570      0.3946      0.8571      11.919    1564.812      65.644  
        49.2        1.57      0.6986      0.3887      0.8734      12.147    1594.904      64.655  
        53.7        1.71      0.7352      0.3779      0.8798      12.237    1606.410      62.834  
        58.2        1.85      0.7695      0.3630      0.8749      12.167    1597.560      60.361  
        62.6        2.00      0.8005      0.3442      0.8588      11.944    1568.352      57.236  
        67.1        2.14      0.8248      0.3205      0.8315      11.564    1518.788      53.302  
        71.6        2.28      0.8441      0.2949      0.7973      11.089    1455.948      49.031  
        76.1        2.42      0.8613      0.2685      0.7559      10.514    1380.716      44.647  
        80.5        2.57      0.8762      0.2413      0.7069       9.832    1291.324      40.128  
        85.0        2.71      0.8886      0.2132      0.6502       9.044    1187.770      35.452  
        89.5        2.85      0.8979      0.1843      0.5854       8.143    1069.170      30.641  
        94.0        3.00      0.9028      0.1545      0.5124       7.126     935.524      25.673  
        98.4        3.14      0.9011      0.1237      0.4308       5.992     786.743      20.572  
       102.9        3.28      0.8869      0.0921      0.3407       4.738     622.030      15.312  
       107.4        3.42      0.8435      0.0595      0.2416       3.359     441.121       9.896  
       111.8        3.57      0.6950      0.0260      0.1335       1.856     243.750       4.325  



         PROP RPM =       540

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3012      0.6098      12.075    1409.039      63.396  
         4.5        0.13      0.0636      0.3073      0.6131      12.139    1417.004      64.678  
         8.9        0.25      0.1287      0.3151      0.6210      12.296    1435.591      66.319  
        13.4        0.38      0.1946      0.3248      0.6347      12.569    1466.569      68.342  
        17.9        0.51      0.2602      0.3361      0.6553      12.976    1514.363      70.747  
        22.4        0.63      0.3254      0.3491      0.6802      13.464    1571.892      73.468  
        26.8        0.76      0.3888      0.3621      0.7085      14.027    1637.388      76.210  
        31.3        0.89      0.4488      0.3739      0.7396      14.644    1709.079      78.706  
        35.8        1.01      0.5044      0.3838      0.7718      15.288    1783.425      80.774  
        40.3        1.14      0.5590      0.3922      0.8007      15.851    1850.691      82.550  
        44.7        1.27      0.6047      0.3953      0.8293      16.427    1917.072      83.224  
        49.2        1.39      0.6488      0.3965      0.8520      16.870    1969.291      83.427  
        53.7        1.52      0.6848      0.3915      0.8700      17.232    2010.889      82.392  
        58.2        1.65      0.7199      0.3839      0.8790      17.406    2031.246      80.796  
        62.6        1.78      0.7504      0.3720      0.8798      17.420    2033.901      78.278  
        67.1        1.90      0.7800      0.3575      0.8717      17.259    2014.430      75.244  
        71.6        2.03      0.8086      0.3405      0.8543      16.910    1974.601      71.647  
        76.1        2.16      0.8274      0.3182      0.8291      16.414    1916.187      66.971  
        80.5        2.28      0.8445      0.2955      0.7984      15.811    1845.381      62.182  
        85.0        2.41      0.8599      0.2720      0.7620      15.086    1761.298      57.236  
        89.5        2.54      0.8736      0.2479      0.7196      14.255    1663.055      52.178  
        94.0        2.66      0.8854      0.2231      0.6711      13.290    1550.651      46.963  
        98.4        2.79      0.8949      0.1977      0.6162      12.203    1424.085      41.612  
       102.9        2.92      0.9017      0.1716      0.5550      10.990    1282.473      36.104  
       107.4        3.04      0.9044      0.1447      0.4870       9.643    1125.815      30.462  
       111.8        3.17      0.9010      0.1172      0.4123       8.164     953.225      24.662  



         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3012      0.6094      16.562    1739.172      78.256  
         4.5        0.11      0.0572      0.3067      0.6122      16.629    1747.137      79.672  
         8.9        0.23      0.1157      0.3135      0.6185      16.803    1764.839      81.448  
        13.4        0.34      0.1750      0.3218      0.6296      17.098    1796.701      83.606  
        17.9        0.46      0.2343      0.3315      0.6458      17.541    1842.725      86.124  
        22.4        0.57      0.2925      0.3424      0.6679      18.144    1905.566      88.957  
        26.8        0.68      0.3504      0.3542      0.6922      18.801    1975.487      92.037  
        31.3        0.80      0.4066      0.3657      0.7185      19.512    2049.833      95.004  
        35.8        0.91      0.4599      0.3761      0.7466      20.276    2130.375      97.724  
        40.3        1.03      0.5097      0.3848      0.7755      21.067    2212.686      99.995  
        44.7        1.14      0.5594      0.3926      0.8008      21.751    2285.263     101.996  
        49.2        1.26      0.6010      0.3957      0.8268      22.462    2358.724     102.850  
        53.7        1.37      0.6387      0.3961      0.8493      23.066    2423.334     102.918  
        58.2        1.48      0.6757      0.3942      0.8654      23.508    2469.358     102.423  
        62.6        1.60      0.7059      0.3876      0.8774      23.830    2503.876     100.714  
        67.1        1.71      0.7360      0.3789      0.8813      23.937    2514.497      98.444  
        71.6        1.83      0.7630      0.3672      0.8786      23.870    2506.531      95.386  
        76.1        1.94      0.7875      0.3527      0.8689      23.602    2479.094      91.655  
        80.5        2.05      0.8128      0.3367      0.8509      23.106    2427.760      87.473  
        85.0        2.17      0.8295      0.3166      0.8275      22.475    2361.379      82.258  
        89.5        2.28      0.8448      0.2960      0.7996      21.725    2281.722      76.907  
        94.0        2.40      0.8588      0.2749      0.7671      20.839    2188.789      71.422  
        98.4        2.51      0.8714      0.2533      0.7298      19.820    2082.581      65.824  
       102.9        2.62      0.8825      0.2312      0.6876      18.680    1962.210      60.069  
       107.4        2.74      0.8920      0.2085      0.6402      17.393    1826.794      54.179  
       111.8        2.85      0.8994      0.1852      0.5876      15.958    1676.331      48.132  



         PROP RPM =       660

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3013      0.6092      22.020    2102.937      94.712  
         4.5        0.10      0.0519      0.3061      0.6115      22.113    2110.903      96.241  
         8.9        0.21      0.1050      0.3122      0.6168      22.301    2129.489      98.129  
        13.4        0.31      0.1588      0.3194      0.6259      22.623    2160.467     100.422  
        17.9        0.41      0.2129      0.3279      0.6390      23.106    2205.606     103.075  
        22.4        0.52      0.2664      0.3373      0.6568      23.749    2267.561     106.065  
        26.8        0.62      0.3202      0.3482      0.6769      24.474    2337.482     109.460  
        31.3        0.73      0.3731      0.3593      0.6993      25.278    2414.484     112.944  
        35.8        0.83      0.4241      0.3699      0.7237      26.163    2498.566     116.294  
        40.3        0.93      0.4688      0.3780      0.7527      27.209    2598.579     118.834  
        44.7        1.04      0.5139      0.3857      0.7787      28.148    2687.972     121.262  
        49.2        1.14      0.5558      0.3915      0.8040      29.073    2775.594     123.105  
        53.7        1.24      0.5980      0.3961      0.8248      29.824    2847.285     124.567  
        58.2        1.35      0.6330      0.3969      0.8456      30.575    2919.861     124.791  
        62.6        1.45      0.6648      0.3949      0.8629      31.206    2979.161     124.184  
        67.1        1.56      0.6966      0.3915      0.8741      31.608    3018.104     123.015  
        71.6        1.66      0.7229      0.3838      0.8814      31.863    3042.886     120.677  
        76.1        1.76      0.7488      0.3744      0.8819      31.889    3044.657     117.710  
        80.5        1.87      0.7727      0.3629      0.8769      31.702    3027.840     114.068  
        85.0        1.97      0.7946      0.3491      0.8661      31.313    2989.782     109.752  
        89.5        2.07      0.8161      0.3337      0.8483      30.669    2928.712     104.896  
        94.0        2.18      0.8311      0.3153      0.8265      29.878    2853.481      99.141  
        98.4        2.28      0.8450      0.2966      0.8011      28.966    2765.858      93.251  
       102.9        2.39      0.8578      0.2775      0.7717      27.907    2664.075      87.226  
       107.4        2.49      0.8695      0.2579      0.7385      26.700    2549.015      81.066  
       111.8        2.59      0.8800      0.2379      0.7010      25.345    2419.794      74.771  



         PROP RPM =       720

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3013      0.6089      28.577    2502.106     112.719  
         4.5        0.10      0.0476      0.3057      0.6110      28.684    2510.072     114.383  
         8.9        0.19      0.0961      0.3111      0.6155      28.886    2528.658     116.406  
        13.4        0.29      0.1454      0.3175      0.6229      29.234    2559.636     118.789  
        17.9        0.38      0.1950      0.3249      0.6338      29.744    2603.889     121.577  
        22.4        0.48      0.2444      0.3333      0.6485      30.441    2664.960     124.702  
        26.8        0.57      0.2929      0.3425      0.6673      31.326    2741.961     128.164  
        31.3        0.67      0.3416      0.3525      0.6870      32.238    2822.503     131.895  
        35.8        0.76      0.3895      0.3625      0.7079      33.230    2909.240     135.627  
        40.3        0.86      0.4358      0.3720      0.7307      34.290    3002.173     139.202  
        44.7        0.95      0.4799      0.3806      0.7543      35.403    3099.531     142.417  
        49.2        1.05      0.5174      0.3865      0.7813      36.677    3210.166     144.597  
        53.7        1.14      0.5560      0.3918      0.8042      37.750    3304.869     146.620  
        58.2        1.24      0.5954      0.3965      0.8234      38.648    3382.755     148.374  
        62.6        1.33      0.6282      0.3977      0.8428      39.560    3463.297     148.779  
        67.1        1.43      0.6581      0.3965      0.8593      40.338    3530.563     148.329  
        71.6        1.52      0.6855      0.3930      0.8722      40.941    3583.667     147.025  
        76.1        1.62      0.7137      0.3884      0.8797      41.290    3614.645     145.294  
