        83x23_4_600_36_620                                 (83x23_4_600_36_620.dat)

         PROP RPM =       300

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3149      0.4562       3.901     819.579      42.826  
         4.5        0.19      0.1314      0.3241      0.4682       4.003     841.086      44.085  
         8.9        0.38      0.2603      0.3368      0.4911       4.199     882.154      45.794  
        13.4        0.57      0.3855      0.3512      0.5186       4.435     931.984      47.772  
        17.9        0.76      0.4999      0.3609      0.5478       4.686     984.203      49.076  
        22.4        0.95      0.6020      0.3620      0.5706       4.879    1024.916      49.233  
        26.8        1.14      0.6850      0.3513      0.5838       4.993    1048.813      47.772  
        31.3        1.33      0.7527      0.3284      0.5795       4.955    1040.848      44.670  
        35.8        1.52      0.8051      0.2945      0.5552       4.749     997.479      40.061  
        40.3        1.71      0.8469      0.2538      0.5118       4.376     919.593      34.508  
        44.7        1.90      0.8759      0.2089      0.4525       3.869     812.941      28.416  
        49.2        2.09      0.8960      0.1623      0.3781       3.233     679.295      22.078  
        53.7        2.28      0.9027      0.1141      0.2878       2.462     517.149      15.523  
        58.2        2.47      0.8748      0.0643      0.1812       1.549     325.442       8.736  
        62.6        2.66      0.5832      0.0126      0.0575       0.491     103.200       1.716  



         PROP RPM =       360

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3149      0.4553       6.728    1178.034      61.688  
         4.5        0.16      0.1097      0.3225      0.4645       6.865    1201.931      63.149  
         8.9        0.32      0.2185      0.3323      0.4810       7.107    1244.415      65.082  
        13.4        0.47      0.3245      0.3444      0.5035       7.440    1302.830      67.465  
        17.9        0.63      0.4276      0.3558      0.5263       7.775    1361.245      69.668  
        22.4        0.79      0.5216      0.3626      0.5496       8.121    1421.430      71.017  
        26.8        0.95      0.6033      0.3625      0.5701       8.423    1474.534      70.995  
        31.3        1.11      0.6755      0.3551      0.5818       8.596    1504.627      69.533  
        35.8        1.26      0.7343      0.3383      0.5827       8.612    1507.282      66.251  
        40.3        1.42      0.7817      0.3131      0.5700       8.422    1474.534      61.328  
        44.7        1.58      0.8211      0.2820      0.5431       8.025    1404.613      55.236  
        49.2        1.74      0.8536      0.2469      0.5031       7.435    1301.060      48.356  
        53.7        1.90      0.8773      0.2093      0.4527       6.690    1170.954      41.005  
        58.2        2.06      0.8952      0.1706      0.3917       5.789    1013.410      33.407  
        62.6        2.21      0.9052      0.1308      0.3197       4.726     827.368      25.606  
        67.1        2.37      0.9003      0.0898      0.2365       3.495     611.764      17.580  
        71.6        2.53      0.8504      0.0476      0.1415       2.091     366.067       9.316  
        76.1        2.69      0.3223      0.0041      0.0346       0.511      89.481       0.812  



         PROP RPM =       420

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3150      0.4545      10.666    1601.100      83.966  
         4.5        0.14      0.0942      0.3213      0.4621      10.843    1626.767      85.652  
         8.9        0.27      0.1881      0.3294      0.4746      11.139    1671.021      87.788  
        13.4        0.41      0.2794      0.3391      0.4935      11.581    1737.401      90.396  
        17.9        0.54      0.3707      0.3500      0.5119      12.012    1802.012      93.296  
        22.4        0.68      0.4541      0.3582      0.5344      12.540    1881.669      95.476  
        26.8        0.81      0.5338      0.3631      0.5532      12.981    1948.049      96.803  
        31.3        0.95      0.6043      0.3630      0.5698      13.370    2006.464      96.758  
        35.8        1.08      0.6650      0.3566      0.5813      13.638    2047.178      95.049  
        40.3        1.22      0.7194      0.3444      0.5840      13.705    2056.028      91.812  
        44.7        1.36      0.7621      0.3249      0.5779      13.558    2034.787      86.619  
        49.2        1.49      0.8000      0.3008      0.5605      13.153    1973.716      80.189  
        53.7        1.63      0.8329      0.2731      0.5333      12.514    1878.128      72.793  
        58.2        1.76      0.8583      0.2421      0.4969      11.662    1749.792      64.543  
        62.6        1.90      0.8784      0.2098      0.4531      10.633    1595.790      55.910  
        67.1        2.03      0.8944      0.1766      0.4014       9.421    1413.464      47.075  
        71.6        2.17      0.9051      0.1427      0.3418       8.019    1203.701      38.038  
        76.1        2.30      0.9076      0.1078      0.2737       6.423     963.846      28.753  
        80.5        2.44      0.8925      0.0721      0.1971       4.627     694.341      19.230  
        85.0        2.57      0.8181      0.0356      0.1119       2.627     394.124       9.480  



         PROP RPM =       480

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3151      0.4540      15.904    2087.891     109.707  
         4.5        0.12      0.0826      0.3205      0.4604      16.119    2117.098     111.595  
         8.9        0.24      0.1650      0.3273      0.4704      16.481    2163.122     113.956  
        13.4        0.36      0.2460      0.3354      0.4850      16.991    2230.388     116.766  
        17.9        0.47      0.3257      0.3448      0.5021      17.594    2309.160     120.026  
        22.4        0.59      0.4021      0.3534      0.5210      18.251    2396.782     123.038  
        26.8        0.71      0.4776      0.3606      0.5372      18.815    2470.243     125.533  
        31.3        0.83      0.5428      0.3636      0.5561      19.472    2556.981     126.590  
