        48x14_6_1400_51_420                                 (48x14_6_1400_51_420.dat)

         PROP RPM =       700

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3501      0.5303       3.727     335.532      29.000  
         4.5        0.14      0.0932      0.3574      0.5393       3.790     341.196      29.607  
         8.9        0.28      0.1861      0.3667      0.5541       3.894     350.667      30.372  
        13.4        0.42      0.2766      0.3779      0.5764       4.050     364.651      31.293  
        17.9        0.56      0.3642      0.3907      0.6032       4.239     381.733      32.350  
        22.4        0.70      0.4503      0.4019      0.6273       4.408     396.867      33.272  
        26.8        0.84      0.5296      0.4085      0.6508       4.574     411.825      33.834  
        31.3        0.98      0.5997      0.4089      0.6710       4.715     424.570      33.856  
        35.8        1.12      0.6601      0.4015      0.6843       4.809     432.978      33.249  
        40.3        1.27      0.7113      0.3866      0.6878       4.834     435.191      32.013  
        44.7        1.41      0.7567      0.3651      0.6785       4.767     429.261      30.237  
        49.2        1.55      0.7944      0.3375      0.6570       4.617     415.720      27.944  
        53.7        1.69      0.8259      0.3056      0.6244       4.388     395.009      25.313  
        58.2        1.83      0.8519      0.2708      0.5810       4.083     367.571      22.427  
        62.6        1.97      0.8714      0.2341      0.5289       3.717     334.647      19.392  
        67.1        2.11      0.8859      0.1965      0.4677       3.287     295.880      16.269  
        71.6        2.25      0.8939      0.1577      0.3969       2.789     251.184      13.064  
        76.1        2.39      0.8910      0.1180      0.3166       2.225     200.292       9.772  
        80.5        2.53      0.8641      0.0772      0.2262       1.589     143.117       6.396  
        85.0        2.67      0.7526      0.0354      0.1257       0.883      79.497       2.932  



         PROP RPM =       840

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3503      0.5289       6.423     481.923      41.770  
         4.5        0.12      0.0779      0.3562      0.5360       6.509     488.384      42.489  
         8.9        0.23      0.1558      0.3635      0.5471       6.642     498.386      43.366  
        13.4        0.35      0.2325      0.3723      0.5628       6.834     512.812      44.400  
        17.9        0.47      0.3067      0.3823      0.5841       7.093     532.195      45.591  
        22.4        0.59      0.3823      0.3938      0.6036       7.329     549.897      46.963  
        26.8        0.70      0.4517      0.4023      0.6262       7.604     570.519      47.974  
        31.3        0.82      0.5156      0.4077      0.6486       7.876     590.964      48.626  
        35.8        0.94      0.5777      0.4097      0.6651       8.076     605.922      48.873  
        40.3        1.05      0.6328      0.4070      0.6783       8.238     618.048      48.536  
        44.7        1.17      0.6809      0.3988      0.6862       8.333     625.217      47.547  
        49.2        1.29      0.7225      0.3849      0.6867       8.338     625.659      45.906  
        53.7        1.41      0.7583      0.3661      0.6788       8.243     618.490      43.658  
        58.2        1.52      0.7907      0.3436      0.6619       8.038     603.090      40.983  
        62.6        1.64      0.8173      0.3175      0.6372       7.738     580.520      37.858  
        67.1        1.76      0.8421      0.2897      0.6045       7.341     550.782      34.553  
        71.6        1.87      0.8606      0.2596      0.5655       6.866     515.202      30.956  
        76.1        1.99      0.8761      0.2287      0.5202       6.316     473.869      27.292  
        80.5        2.11      0.8882      0.1972      0.4683       5.687     426.694      23.515  
        85.0        2.23      0.8959      0.1650      0.4100       4.978     373.501      19.678  
        89.5        2.34      0.8974      0.1320      0.3448       4.187     314.201      15.748  
        94.0        2.46      0.8875      0.0984      0.2727       3.312     248.529      11.733  
        98.4        2.58      0.8517      0.0640      0.1936       2.351     176.395       7.630  
       102.9        2.69      0.7239      0.0288      0.1073       1.303      97.801       3.437  



         PROP RPM =       980

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3504      0.5280      10.180     654.690      56.877  
         4.5        0.10      0.0669      0.3554      0.5337      10.292     661.859      57.686  
         8.9        0.20      0.1339      0.3615      0.5423      10.457     672.568      58.675  
        13.4        0.30      0.2003      0.3685      0.5543      10.688     687.349      59.822  
        17.9        0.40      0.2654      0.3766      0.5701      10.992     706.909      61.126  
        22.4        0.50      0.3281      0.3856      0.5901      11.379     731.780      62.587  
        26.8        0.60      0.3930      0.3953      0.6062      11.690     751.782      64.183  
        31.3        0.70      0.4528      0.4027      0.6255      12.060     775.591      65.397  
        35.8        0.80      0.5086      0.4077      0.6444      12.425     799.045      66.206  
        40.3        0.90      0.5600      0.4101      0.6620      12.765     820.907      66.566  
