        90x68_5_200_36_130                                 (90x68_5_200_36_130.dat)

         PROP RPM =       100

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3010      1.2444       0.591     372.351       6.288  
         4.5        0.52      0.1469      0.3484      1.2444       0.591     372.528       7.277  
         8.9        1.05      0.3257      0.4356      1.4039       0.667     420.145       9.098  
        13.4        1.57      0.4816      0.5383      1.7595       0.836     526.619      11.243  
        17.9        2.10      0.5995      0.6290      2.2039       1.046     659.469      13.145  
        22.4        2.62      0.6986      0.6310      2.3707       1.126     709.299      13.181  
        26.8        3.15      0.7481      0.5663      2.3841       1.132     713.282      11.827  
        31.3        3.67      0.7878      0.4977      2.3208       1.102     694.430      10.393  
        35.8        4.20      0.8187      0.4240      2.1747       1.033     650.884       8.857  
        40.3        4.72      0.8398      0.3453      1.9421       0.922     581.317       7.214  
        44.7        5.25      0.8464      0.2612      1.6194       0.769     484.667       5.456  
        49.2        5.77      0.8214      0.1713      1.2040       0.572     360.225       3.577  
        53.7        6.30      0.6843      0.0753      0.6933       0.329     207.461       1.573  



         PROP RPM =       120

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3011      1.2432       1.020     535.736       9.058  
         4.5        0.44      0.1197      0.3376      1.2347       1.013     531.841      10.157  
         8.9        0.87      0.2661      0.4039      1.3284       1.089     572.201      12.151  
        13.4        1.31      0.4114      0.4876      1.5549       1.276     670.090      14.667  
        17.9        1.75      0.5217      0.5725      1.9190       1.574     827.014      17.216  
        22.4        2.19      0.6229      0.6414      2.2526       1.848     970.927      19.300  
        26.8        2.62      0.7004      0.6321      2.3695       1.944    1021.376      19.021  
        31.3        3.06      0.7422      0.5783      2.3865       1.958    1028.457      17.398  
        35.8        3.50      0.7772      0.5221      2.3500       1.928    1012.525      15.701  
        40.3        3.94      0.8062      0.4624      2.2587       1.853     973.582      13.913  
        44.7        4.37      0.8294      0.3996      2.1077       1.729     908.087      12.021  
        49.2        4.81      0.8456      0.3330      1.8946       1.554     816.570      10.020  
        53.7        5.25      0.8517      0.2628      1.6194       1.329     697.881       7.904  
        58.2        5.69      0.8380      0.1885      1.2797       1.050     551.224       5.672  
        62.6        6.12      0.7725      0.1101      0.8734       0.717     376.334       3.314  
        67.1        6.56      0.4509      0.0275      0.4006       0.329     172.590       0.828  



         PROP RPM =       140

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3012      1.2420       1.619     728.593      12.333  
         4.5        0.37      0.1008      0.3306      1.2298       1.601     720.982      13.538  
         8.9        0.75      0.2232      0.3830      1.2870       1.676     754.703      15.683  
        13.4        1.12      0.3527      0.4511      1.4392       1.875     844.007      18.473  
        17.9        1.50      0.4652      0.5252      1.6937       2.206     993.054      21.503  
        22.4        1.87      0.5533      0.5984      2.0273       2.642    1189.540      24.504  
        26.8        2.25      0.6365      0.6465      2.2842       2.976    1340.003      26.460  
        31.3        2.62      0.7019      0.6333      2.3683       3.086    1389.567      25.943  
        35.8        3.00      0.7379      0.5872      2.3865       3.110    1400.188      24.032  
        40.3        3.37      0.7690      0.5391      2.3658       3.083    1387.797      22.078  
        44.7        3.75      0.7958      0.4891      2.3049       3.003    1352.394      20.033  
        49.2        4.12      0.8184      0.4368      2.2014       2.868    1291.324      17.888  
        53.7        4.50      0.8368      0.3819      2.0541       2.675    1204.587      15.638  
        58.2        4.87      0.8501      0.3244      1.8605       2.423    1091.297      13.282  
        62.6        5.25      0.8558      0.2641      1.6194       2.111     949.685      10.811  
        67.1        5.62      0.8481      0.2008      1.3321       1.735     781.167       8.224  
        71.6        6.00      0.8111      0.1346      0.9959       1.297     584.061       5.512  
        76.1        6.37      0.6818      0.0653      0.6109       0.796     358.278       2.675  



         PROP RPM =       160

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3013      1.2420       2.414     951.455      16.114  
         4.5        0.33      0.0871      0.3258      1.2274       2.386     939.949      17.423  
         8.9        0.66      0.1913      0.3682      1.2627       2.457     967.387      19.691  
        13.4        0.98      0.3053      0.4248      1.3686       2.662    1048.813      22.706  
        17.9        1.31      0.4133      0.4887      1.5525       3.019    1188.655      26.145  
        22.4        1.64      0.5010      0.5535      1.8130       3.524    1388.682      29.607  
        26.8        1.97      0.5791      0.6178      2.1004       4.085    1609.066      33.047  
        31.3        2.30      0.6483      0.6507      2.3049       4.483    1765.724      34.800  
        35.8        2.62      0.7030      0.6345      2.3683       4.606    1814.403      33.924  
        40.3        2.95      0.7347      0.5938      2.3865       4.641    1828.564      31.766  
        44.7        3.28      0.7626      0.5523      2.3756       4.620    1819.713      29.517  
        49.2        3.61      0.7872      0.5089      2.3329       4.538    1787.851      27.224  
        53.7        3.94      0.8087      0.4639      2.2599       4.393    1730.321      24.819  
        58.2        4.27      0.8272      0.4174      2.1515       4.185    1648.894      22.321  
        62.6        4.59      0.8425      0.3687      2.0103       3.909    1540.030      19.718  
        67.1        4.92      0.8536      0.3180      1.8337       3.564    1404.613      17.007  
        71.6        5.25      0.8591      0.2652      1.6206       3.151    1240.875      14.181  
        76.1        5.58      0.8549      0.2101      1.3710       2.666    1050.584      11.238  
        80.5        5.91      0.8321      0.1528      1.0847       2.109     830.908       8.174  
        85.0        6.23      0.7634      0.0932      0.7609       1.479     582.910       4.984  
        89.5        6.56      0.5114      0.0311      0.3993       0.776     305.793       1.664  



         PROP RPM =       180

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3014      1.2407       3.436    1202.816      20.399  
         4.5        0.29      0.0767      0.3223      1.2261       3.394    1188.655      21.815  
         8.9        0.58      0.1670      0.3575      1.2481       3.457    1210.782      24.189  
        13.4        0.87      0.2676      0.4050      1.3248       3.666    1284.243      27.404  
        17.9        1.17      0.3677      0.4601      1.4599       4.042    1415.234      31.136  
        22.4        1.46      0.4559      0.5182      1.6572       4.589    1606.410      35.070  
        26.8        1.75      0.5253      0.5748      1.9141       5.301    1856.001      38.892  
        31.3        2.04      0.5967      0.6298      2.1540       5.965    2088.776      42.624  
        35.8        2.33      0.6570      0.6531      2.3196       6.422    2248.089      44.197  
        40.3        2.62      0.7039      0.6352      2.3683       6.558    2295.884      42.983  
        44.7        2.92      0.7323      0.5992      2.3865       6.607    2313.585      40.556  
        49.2        3.21      0.7575      0.5624      2.3804       6.592    2308.275      38.060  
        53.7        3.50      0.7801      0.5244      2.3512       6.511    2279.952      35.475  
        58.2        3.79      0.8004      0.4849      2.2976       6.360    2226.848      32.822  
        62.6        4.08      0.8183      0.4442      2.2161       6.138    2148.961      30.079  
        67.1        4.37      0.8339      0.4023      2.1089       5.841    2045.407      27.224  
        71.6        4.67      0.8469      0.3584      1.9750       5.469    1914.416      24.257  
        76.1        4.96      0.8566      0.3131      1.8118       5.018    1756.873      21.193  
        80.5        5.25      0.8618      0.2662      1.6206       4.488    1571.892      18.014  
        85.0        5.54      0.8598      0.2174      1.4015       3.880    1358.590      14.716  
        89.5        5.83      0.8451      0.1669      1.1521       3.190    1116.964      11.299  
        94.0        6.12      0.8034      0.1146      0.8733       2.418     846.662       7.754  
        98.4        6.42      0.6854      0.0603      0.5646       1.564     547.419       4.083  
       102.9        6.71      0.1230      0.0041      0.2257       0.625     218.790       0.280  



         PROP RPM =       200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3014      1.2407       4.711    1485.155      25.179  
         4.5        0.26      0.0685      0.3196      1.2249       4.655    1466.569      26.707  
         8.9        0.52      0.1480      0.3496      1.2395       4.708    1483.385      29.203  
