        41x22_5_800_46_80                                 (41x22_5_800_46_80.dat)

         PROP RPM =       400

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3464      0.9606       0.573      90.278       4.986  
         4.5        0.29      0.1094      0.3665      0.9652       0.575      90.632       5.276  
         8.9        0.58      0.2280      0.3977      1.0054       0.599      94.437       5.726  
        13.4        0.86      0.3465      0.4380      1.0928       0.652     102.669       6.308  
        17.9        1.15      0.4542      0.4837      1.2274       0.731     115.237       6.962  
        22.4        1.44      0.5525      0.5256      1.3698       0.817     128.690       7.567  
        26.8        1.73      0.6320      0.5449      1.4904       0.889     140.019       7.846  
        31.3        2.02      0.7035      0.5383      1.5427       0.920     144.887       7.747  
        35.8        2.30      0.7550      0.4977      1.5184       0.905     142.674       7.162  
        40.3        2.59      0.7912      0.4465      1.4624       0.872     137.364       6.425  
        44.7        2.88      0.8214      0.3930      1.3783       0.822     129.398       5.656  
        49.2        3.17      0.8453      0.3368      1.2627       0.753     118.600       4.849  
        53.7        3.46      0.8621      0.2782      1.1156       0.665     104.793       4.006  
        58.2        3.74      0.8683      0.2169      0.9355       0.558      87.888       3.123  
        62.6        4.03      0.8544      0.1529      0.7217       0.430      67.788       2.201  
        67.1        4.32      0.7858      0.0860      0.4733       0.282      44.457       1.239  
        71.6        4.61      0.3967      0.0163      0.1898       0.113      17.825       0.235  



         PROP RPM =       480

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3466      0.9590       0.988     129.752       7.185  
         4.5        0.24      0.0906      0.3627      0.9607       0.990     129.929       7.518  
         8.9        0.48      0.1884      0.3866      0.9852       1.015     133.292       8.014  
        13.4        0.72      0.2890      0.4174      1.0406       1.072     140.727       8.657  
        17.9        0.96      0.3850      0.4535      1.1314       1.166     153.029       9.404  
        22.4        1.20      0.4718      0.4918      1.2517       1.289     169.226      10.195  
        26.8        1.44      0.5546      0.5267      1.3686       1.409     185.069      10.919  
        31.3        1.68      0.6203      0.5442      1.4745       1.518     199.407      11.279  
        35.8        1.92      0.6813      0.5445      1.5342       1.581     207.550      11.285  
        40.3        2.16      0.7366      0.5236      1.5354       1.582     207.727      10.854  
        44.7        2.40      0.7697      0.4818      1.5025       1.548     203.302       9.988  
        49.2        2.64      0.7985      0.4387      1.4502       1.494     196.221       9.094  
        53.7        2.88      0.8232      0.3938      1.3783       1.420     186.397       8.165  
        58.2        3.12      0.8439      0.3473      1.2846       1.323     173.740       7.201  
        62.6        3.36      0.8601      0.2990      1.1685       1.204     158.074       6.198  
        67.1        3.60      0.8704      0.2489      1.0299       1.061     139.311       5.162  
        71.6        3.84      0.8718      0.1970      0.8680       0.894     117.449       4.085  
        76.1        4.08      0.8563      0.1432      0.6824       0.703      92.313       2.967  
        80.5        4.32      0.7992      0.0874      0.4726       0.487      63.929       1.812  
        85.0        4.56      0.5668      0.0296      0.2383       0.246      32.243       0.614  



