        41x9_5_2200_51_410                                 (41x9_5_2200_51_410.dat)

         PROP RPM =       1100

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3011      0.3275       4.061     232.686      32.777  
         4.5        0.10      0.0952      0.3051      0.3356       4.161     238.351      33.204  
         8.9        0.21      0.1887      0.3096      0.3437       4.262     244.104      33.699  
        13.4        0.31      0.2825      0.3138      0.3491       4.329     247.998      34.171  
        17.9        0.42      0.3697      0.3158      0.3579       4.437     254.282      34.373  
        22.4        0.52      0.4506      0.3156      0.3669       4.549     260.654      34.373  
        26.8        0.63      0.5283      0.3132      0.3727       4.621     264.726      34.104  
        31.3        0.73      0.5977      0.3077      0.3775       4.680     268.178      33.497  
        35.8        0.84      0.6549      0.2977      0.3810       4.723     270.656      32.417  
        40.3        0.94      0.7076      0.2846      0.3792       4.702     269.417      30.979  
        44.7        1.05      0.7546      0.2680      0.3721       4.613     264.283      29.180  
        49.2        1.15      0.7922      0.2476      0.3602       4.466     255.875      26.955  
        53.7        1.26      0.8257      0.2248      0.3423       4.243     243.130      24.482  
        58.2        1.36      0.8530      0.1995      0.3185       3.949     226.314      21.723  
        62.6        1.47      0.8737      0.1730      0.2904       3.601     206.311      18.832  
        67.1        1.57      0.8895      0.1457      0.2574       3.192     182.856      15.867  
        71.6        1.68      0.8993      0.1178      0.2195       2.722     155.950      12.825  
        76.1        1.78      0.8998      0.0892      0.1766       2.190     125.415       9.714  
        80.5        1.89      0.8813      0.0600      0.1283       1.590      91.163       6.531  
        85.0        1.99      0.8015      0.0301      0.0747       0.926      53.034       3.273  



         PROP RPM =       1320

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3012      0.3264       6.993     333.939      47.210  
         4.5        0.09      0.0798      0.3044      0.3329       7.133     340.577      47.727  
         8.9        0.17      0.1588      0.3084      0.3390       7.264     346.861      48.334  
        13.4        0.26      0.2366      0.3120      0.3453       7.398     353.233      48.918  
        17.9        0.35      0.3122      0.3148      0.3521       7.545     360.225      49.346  
        22.4        0.44      0.3843      0.3163      0.3593       7.699     367.571      49.593  
        26.8        0.52      0.4520      0.3163      0.3665       7.852     374.918      49.593  
        31.3        0.61      0.5188      0.3149      0.3710       7.948     379.520      49.368  
        35.8        0.70      0.5758      0.3105      0.3766       8.069     385.273      48.671  
        40.3        0.79      0.6271      0.3037      0.3806       8.153     389.344      47.615  
        44.7        0.87      0.6760      0.2949      0.3807       8.157     389.521      46.221  
        49.2        0.96      0.7189      0.2833      0.3784       8.106     387.043      44.422  
        53.7        1.05      0.7562      0.2690      0.3727       7.984     381.202      42.174  
        58.2        1.13      0.7884      0.2523      0.3631       7.779     371.466      39.544  
        62.6        1.22      0.8166      0.2336      0.3496       7.490     357.570      36.621  
        67.1        1.31      0.8426      0.2134      0.3317       7.107     339.338      33.452  
        71.6        1.40      0.8620      0.1916      0.3104       6.651     317.565      30.034  
        76.1        1.48      0.8784      0.1692      0.2859       6.126     292.429      26.527  
        80.5        1.57      0.8916      0.1464      0.2580       5.529     263.929      22.953  
        85.0        1.66      0.9008      0.1231      0.2267       4.857     231.890      19.302  
        89.5        1.75      0.9046      0.0994      0.1918       4.109     196.221      15.579  
        94.0        1.83      0.8991      0.0752      0.1533       3.283     156.747      11.782  
        98.4        1.92      0.8737      0.0505      0.1109       2.376     113.467       7.911  
       102.9        2.01      0.7844      0.0253      0.0648       1.388      66.283       3.968  



         PROP RPM =       1540

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3013      0.3256      11.075     453.247      64.273  
         4.5        0.07      0.0687      0.3041      0.3309      11.261     460.858      64.880  
         8.9        0.15      0.1361      0.3073      0.3378      11.491     470.240      65.577  
        13.4        0.22      0.2030      0.3106      0.3435      11.686     478.206      66.274  
        17.9        0.30      0.2689      0.3135      0.3490      11.872     485.817      66.903  
        22.4        0.37      0.3331      0.3157      0.3547      12.066     493.783      67.375  
        26.8        0.45      0.3947      0.3170      0.3605      12.266     502.014      67.623  
        31.3        0.52      0.4531      0.3170      0.3664      12.467     510.246      67.623  
        35.8        0.60      0.5077      0.3155      0.3720      12.657     517.946      67.330  
        40.3        0.67      0.5583      0.3125      0.3770      12.824     524.849      66.678  
        44.7        0.75      0.6084      0.3082      0.3790      12.894     527.681      65.757  
