        62x39_2_400_41_110                                 (62x39_2_400_41_110.dat)

         PROP RPM =       200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2659      0.9086       0.535     168.695       5.004  
         4.5        0.38      0.1223      0.2910      0.9064       0.534     168.341       5.476  
         8.9        0.76      0.2633      0.3352      0.9698       0.572     180.113       6.308  
        13.4        1.14      0.4011      0.3918      1.1168       0.658     207.373       7.376  
        17.9        1.52      0.5188      0.4527      1.3296       0.784     246.936       8.518  
        22.4        1.90      0.6181      0.4996      1.5391       0.907     285.879       9.399  
        26.8        2.29      0.7028      0.5135      1.6693       0.984     310.130       9.662  
        31.3        2.67      0.7607      0.4821      1.6900       0.996     313.936       9.076  
        35.8        3.05      0.7994      0.4384      1.6718       0.985     310.396       8.250  
        40.3        3.43      0.8316      0.3907      1.6109       0.949     299.155       7.351  
        44.7        3.81      0.8574      0.3388      1.5062       0.887     279.595       6.376  
        49.2        4.19      0.8762      0.2829      1.3528       0.797     251.273       5.323  
        53.7        4.57      0.8851      0.2228      1.1508       0.678     213.746       4.193  
        58.2        4.95      0.8753      0.1585      0.8970       0.529     166.571       2.983  
        62.6        5.33      0.8149      0.0902      0.5902       0.348     109.572       1.697  
        67.1        5.71      0.4420      0.0177      0.2289       0.135      42.519       0.333  



         PROP RPM =       240

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2660      0.9079       0.924     242.776       7.210  
         4.5        0.32      0.1005      0.2855      0.9021       0.919     241.271       7.738  
         8.9        0.64      0.2157      0.3189      0.9389       0.956     251.096       8.642  
        13.4        0.95      0.3352      0.3629      1.0312       1.050     275.789       9.835  
        17.9        1.27      0.4431      0.4128      1.1836       1.205     316.503      11.191  
        22.4        1.59      0.5395      0.4635      1.3637       1.388     364.562      12.558  
        26.8        1.90      0.6196      0.5004      1.5378       1.566     411.294      13.556  
        31.3        2.22      0.6929      0.5163      1.6560       1.686     442.803      13.990  
        35.8        2.54      0.7475      0.4969      1.6888       1.719     451.477      13.464  
        40.3        2.86      0.7821      0.4616      1.6864       1.717     450.857      12.506  
        44.7        3.18      0.8120      0.4236      1.6560       1.687     442.891      11.479  
        49.2        3.49      0.8376      0.3830      1.5963       1.627     427.048      10.379  
        53.7        3.81      0.8589      0.3396      1.5062       1.534     402.797       9.201  
        58.2        4.13      0.8756      0.2932      1.3820       1.408     369.696       7.947  
        62.6        4.45      0.8863      0.2441      1.2249       1.247     327.389       6.616  
        67.1        4.76      0.8875      0.1921      1.0308       1.050     275.701       5.207  
        71.6        5.08      0.8704      0.1372      0.8009       0.816     214.188       3.718  
        76.1        5.40      0.8040      0.0795      0.5337       0.543     142.674       2.154  
        80.5        5.71      0.4734      0.0189      0.2284       0.233      61.070       0.513  



         PROP RPM =       280

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2661      0.9072       1.467     330.221       9.815  
         4.5        0.27      0.0853      0.2820      0.9001       1.455     327.566      10.402  
         8.9        0.54      0.1819      0.3082      0.9222       1.491     335.709      11.371  
        13.4        0.82      0.2850      0.3433      0.9835       1.590     357.924      12.663  
        17.9        1.09      0.3843      0.3842      1.0882       1.759     396.071      14.172  
        22.4        1.36      0.4731      0.4283      1.2322       1.993     448.467      15.802  
        26.8        1.63      0.5513      0.4694      1.3905       2.249     506.086      17.315  
        31.3        1.90      0.6207      0.5008      1.5378       2.486     559.633      18.477  
        35.8        2.18      0.6835      0.5159      1.6438       2.658     598.310      19.035  
        40.3        2.45      0.7376      0.5073      1.6840       2.724     613.091      18.711  
        44.7        2.72      0.7688      0.4775      1.6900       2.734     615.304      17.618  
        49.2        2.99      0.7964      0.4461      1.6767       2.712     610.524      16.458  
        53.7        3.27      0.8207      0.4128      1.6426       2.657     598.045      15.231  
        58.2        3.54      0.8419      0.3776      1.5866       2.565     577.511      13.927  
        62.6        3.81      0.8601      0.3402      1.5074       2.437     548.481      12.549  
        67.1        4.08      0.8750      0.3007      1.4027       2.269     510.688      11.092  
        71.6        4.35      0.8858      0.2592      1.2736       2.060     463.691       9.559  
        76.1        4.63      0.8911      0.2155      1.1190       1.809     407.311       7.949  
        80.5        4.90      0.8871      0.1698      0.9374       1.515     341.196       6.261  
        85.0        5.17      0.8648      0.1219      0.7287       1.178     265.257       4.496  
        89.5        5.44      0.7950      0.0719      0.4925       0.796     179.228       2.653  
        94.0        5.71      0.4982      0.0199      0.2281       0.369      83.029       0.733  



         PROP RPM =       320

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
