        48x10_4_2000_51_580                                 (48x10_4_2000_51_580.dat)

         PROP RPM =       1000

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2775      0.2820       5.778     364.208      46.918  
         4.5        0.10      0.0962      0.2809      0.2872       5.886     370.935      47.480  
         8.9        0.20      0.1909      0.2840      0.2928       6.000     378.192      47.997  
        13.4        0.30      0.2825      0.2862      0.2992       6.130     386.335      48.379  
        17.9        0.39      0.3693      0.2871      0.3061       6.272     395.274      48.536  
        22.4        0.49      0.4540      0.2865      0.3106       6.363     401.027      48.424  
        26.8        0.59      0.5274      0.2831      0.3171       6.495     409.347      47.862  
        31.3        0.69      0.5969      0.2775      0.3204       6.564     413.684      46.918  
        35.8        0.79      0.6577      0.2691      0.3221       6.599     415.897      45.479  
        40.3        0.89      0.7101      0.2572      0.3210       6.575     414.392      43.478  
        44.7        0.98      0.7547      0.2422      0.3158       6.470     407.842      40.938  
        49.2        1.08      0.7925      0.2242      0.3064       6.275     395.540      37.903  
        53.7        1.18      0.8265      0.2041      0.2917       5.977     376.688      34.508  
        58.2        1.28      0.8542      0.1817      0.2723       5.577     351.552      30.709  
        62.6        1.38      0.8752      0.1582      0.2490       5.101     321.548      26.730  
        67.1        1.48      0.8919      0.1340      0.2218       4.545     286.410      22.661  
        71.6        1.57      0.9034      0.1093      0.1906       3.904     246.051      18.477  
        76.1        1.67      0.9072      0.0841      0.1550       3.176     200.204      14.206  
        80.5        1.77      0.8964      0.0582      0.1151       2.358     148.604       9.842  
        85.0        1.87      0.8429      0.0318      0.0706       1.447      91.251       5.382  
        89.5        1.97      0.4459      0.0049      0.0216       0.443      27.898       0.827  



         PROP RPM =       1200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2776      0.2811       9.954     522.814      67.578  
         4.5        0.08      0.0807      0.2806      0.2853      10.099     530.425      68.297  
         8.9        0.16      0.1607      0.2835      0.2894      10.247     538.214      69.016  
        13.4        0.25      0.2392      0.2860      0.2942      10.414     546.976      69.601  
        17.9        0.33      0.3151      0.2876      0.2994      10.599     556.712      70.006  
        22.4        0.41      0.3874      0.2880      0.3049      10.795     566.979      70.118  
        26.8        0.49      0.4551      0.2872      0.3105      10.992     577.334      69.893  
        31.3        0.57      0.5176      0.2846      0.3157      11.177     587.070      69.286  
        35.8        0.66      0.5746      0.2804      0.3202      11.336     595.301      68.252  
        40.3        0.74      0.6296      0.2746      0.3219      11.396     598.576      66.836  
        44.7        0.82      0.6752      0.2660      0.3232      11.442     600.877      64.745  
        49.2        0.90      0.7184      0.2557      0.3211      11.369     597.160      62.227  
        53.7        0.98      0.7559      0.2431      0.3166      11.206     588.575      59.170  
        58.2        1.07      0.7884      0.2284      0.3088      10.935     574.236      55.595  
        62.6        1.15      0.8169      0.2119      0.2978      10.546     553.880      51.571  
        67.1        1.23      0.8433      0.1941      0.2832      10.027     526.619      47.255  
        71.6        1.31      0.8629      0.1747      0.2657       9.406     494.049      42.511  
        76.1        1.39      0.8798      0.1549      0.2455       8.690     456.433      37.700  
        80.5        1.48      0.8937      0.1346      0.2225       7.876     413.595      32.777  
        85.0        1.56      0.9041      0.1140      0.1965       6.959     365.536      27.764  
        89.5        1.64      0.9099      0.0930      0.1677       5.938     311.812      22.638  
        94.0        1.72      0.9084      0.0716      0.1358       4.808     252.512      17.434  
        98.4        1.80      0.8922      0.0498      0.1008       3.568     187.370      12.128  
       102.9        1.89      0.8332      0.0276      0.0626       2.215     116.387       6.729  
       107.4        1.97      0.4705      0.0051      0.0211       0.748      39.288       1.229  



         PROP RPM =       1400

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2777      0.2805      15.770     709.918      91.992  
         4.5        0.07      0.0690      0.2800      0.2854      16.039     722.221      92.779  
         8.9        0.14      0.1373      0.2826      0.2893      16.267     732.311      93.610  
        13.4        0.21      0.2050      0.2849      0.2931      16.481     741.693      94.375  
        17.9        0.28      0.2715      0.2868      0.2971      16.709     751.959      95.027  
        22.4        0.35      0.3359      0.2881      0.3015      16.950     763.023      95.454  
        26.8        0.42      0.3976      0.2885      0.3061      17.205     774.706      95.589  
        31.3        0.49      0.4559      0.2879      0.3107      17.473     786.477      95.364  
        35.8        0.56      0.5104      0.2860      0.3151      17.715     797.629      94.757  
        40.3        0.63      0.5608      0.2828      0.3190      17.943     807.454      93.678  
        44.7        0.70      0.6071      0.2781      0.3221      18.104     815.154      92.127  
        49.2        0.77      0.6491      0.2719      0.3240      18.211     819.933      90.081  
        53.7        0.84      0.6902      0.2645      0.3234      18.184     818.340      87.631  
        58.2        0.91      0.7241      0.2549      0.3218      18.090     814.446      84.461  
        62.6        0.98      0.7567      0.2441      0.3176      17.849     803.648      80.864  
        67.1        1.05      0.7853      0.2317      0.3112      17.487     787.539      76.772  
        71.6        1.12      0.8094      0.2177      0.3026      17.004     765.678      72.119  
        76.1        1.20      0.8333      0.2029      0.2910      16.360     736.648      67.240  
        80.5        1.27      0.8529      0.1867      0.2771      15.583     701.333      61.867  
        85.0        1.34      0.8689      0.1699      0.2612      14.684     661.062      56.292  
        89.5        1.41      0.8830      0.1528      0.2433      13.678     615.746      50.627  
        94.0        1.48      0.8949      0.1354      0.2233      12.555     565.209      44.849  
        98.4        1.55      0.9044      0.1177      0.2011      11.312     509.183      38.982  
       102.9        1.62      0.9109      0.0996      0.1769       9.945     447.671      33.002  
       107.4        1.69      0.9129      0.0814      0.1504       8.451     380.494      26.955  
       111.8        1.76      0.9077      0.0627      0.1215       6.830     307.475      20.786  



         PROP RPM =       1600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2777      0.2799      23.495     925.788     120.183  
         4.5        0.06      0.0606      0.2798      0.2842      23.843     939.064     121.060  
         8.9        0.12      0.1208      0.2822      0.2875      24.125     950.570     122.094  
        13.4        0.18      0.1808      0.2846      0.2905      24.380     960.306     123.128  
        17.9        0.25      0.2377      0.2861      0.2962      24.849     978.893     123.780  
        22.4        0.31      0.2952      0.2876      0.2997      25.144     990.398     124.454  
        26.8        0.37      0.3512      0.2887      0.3034      25.466    1002.790     124.926  
        31.3        0.43      0.4051      0.2891      0.3073      25.788    1016.066     125.084  
        35.8        0.49      0.4564      0.2887      0.3113      26.123    1029.342     124.926  
        40.3        0.55      0.5008      0.2868      0.3171      26.606    1047.928     124.095  
        44.7        0.62      0.5461      0.2843      0.3202      26.874    1058.549     123.038  
        49.2        0.68      0.5883      0.2808      0.3230      27.102    1067.400     121.509  
        53.7        0.74      0.6308      0.2766      0.3236      27.169    1070.055     119.688  
        58.2        0.80      0.6663      0.2706      0.3247      27.250    1073.595     117.081  
        62.6        0.86      0.6987      0.2633      0.3245      27.236    1072.710     113.911  
        67.1        0.92      0.7281      0.2547      0.3228      27.089    1067.400     110.224  
        71.6        0.98      0.7570      0.2453      0.3189      26.767    1054.124     106.132  
        76.1        1.05      0.7810      0.2343      0.3137      26.324    1036.422     101.366  
        80.5        1.11      0.8045      0.2225      0.3062      25.694    1012.525      96.286  
        85.0        1.17      0.8250      0.2097      0.2971      24.930     981.548      90.733  
        89.5        1.23      0.8445      0.1961      0.2857      23.977     944.375      84.843  
        94.0        1.29      0.8596      0.1815      0.2727      22.878     901.006      78.526  
        98.4        1.35      0.8733      0.1666      0.2581      21.671     853.477      72.096  
       102.9        1.41      0.8854      0.1515      0.2421      20.316     800.284      65.554  
       107.4        1.48      0.8958      0.1362      0.2244      18.828     741.870      58.922  
       111.8        1.54      0.9045      0.1206      0.2050      17.205     677.879      52.201  



         PROP RPM =       1800

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2778      0.2794      33.391    1169.184     152.128  
         4.5        0.05      0.0540      0.2796      0.2832      33.834    1185.115     153.117  
         8.9        0.11      0.1071      0.2816      0.2875      34.357    1202.816     154.219  
        13.4        0.16      0.1601      0.2837      0.2906      34.732    1216.093     155.365  
        17.9        0.22      0.2129      0.2857      0.2934      35.068    1227.598     156.467  
        22.4        0.27      0.2626      0.2872      0.2989      35.711    1250.610     157.254  
        26.8        0.33      0.3134      0.2884      0.3020      36.073    1263.001     157.951  
        31.3        0.38      0.3629      0.2893      0.3051      36.462    1276.278     158.445  
        35.8        0.44      0.4108      0.2898      0.3085      36.865    1291.324     158.693  
        40.3        0.49      0.4528      0.2890      0.3141      37.522    1314.336     158.266  
        44.7        0.55      0.4963      0.2879      0.3172      37.897    1326.727     157.659  
        49.2        0.60      0.5375      0.2860      0.3201      38.246    1339.118     156.624  
        53.7        0.66      0.5761      0.2833      0.3227      38.554    1349.739     155.141  
        58.2        0.71      0.6122      0.2796      0.3247      38.796    1358.590     153.140  
        62.6        0.77      0.6456      0.2750      0.3261      38.957    1363.900     150.600  
        67.1        0.82      0.6765      0.2693      0.3266      39.024    1366.555     147.497  
        71.6        0.87      0.7049      0.2627      0.3260      38.943    1363.900     143.833  
        76.1        0.93      0.7310      0.2549      0.3243      38.742    1355.934     139.629  
        80.5        0.98      0.7571      0.2466      0.3206      38.300    1340.888     135.020  
        85.0        1.04      0.7787      0.2368      0.3160      37.750    1321.416     129.692  
        89.5        1.09      0.7985      0.2263      0.3099      37.026    1296.634     123.915  
        94.0        1.15      0.8182      0.2152      0.3021      36.087    1263.887     117.845  
        98.4        1.20      0.8360      0.2034      0.2927      34.974    1224.943     111.393  
       102.9        1.26      0.8516      0.1908      0.2818      33.660    1178.919     104.469  
       107.4        1.31      0.8646      0.1776      0.2696      32.211    1127.585      97.275  
       111.8        1.37      0.8764      0.1643      0.2563      30.615    1071.825      89.969  



         PROP RPM =       2000

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2778      0.2791      45.742    1441.787     187.828  
         4.5        0.05      0.0487      0.2794      0.2824      46.292    1458.603     188.929  
         8.9        0.10      0.0967      0.2812      0.2863      46.909    1478.075     190.143  
        13.4        0.15      0.1447      0.2833      0.2891      47.365    1493.121     191.537  
        17.9        0.20      0.1911      0.2850      0.2936      48.129    1516.133     192.706  
        22.4        0.25      0.2383      0.2868      0.2961      48.545    1529.409     193.875  
