Battery,Motor,Propeller,Battery_Weight,Battery_Capacity,Motor_Weight,Propeller_Weight,MV_omega_rad,MV_omega_RPM,MV_Voltage,MV_Thrust,MV_Torque,MV_Power,MV_Current,MV_Efficiency,MP_omega_rad,MP_omega_RPM,MP_Voltage,MP_Thrust,MP_Torque,MP_Power,MP_Current,MP_Efficiency,MC_omega_rad,MC_omega_RPM,MC_Voltage,MC_Thrust,MC_Torque,MC_Power,MC_Current,MC_Efficiency,MaxPower,MaxCur,PeakCur,ContCur,Aircraft_Weight,Aircraft_Thrust,Aircraft_Thrust2Weight,Aircraft_FlightTime
Eagle 100 Ah Li,KDE5215XF-435,27x10_2_2000_51_80,35,100,0.36,0.172,209.98,2005.20,33.30,79.97,20.33,32441.05,974.21,13.85,95.88,915.61,8.16,28.64,4.27,1678.95,205.69,25.66,57.74,551.36,3.50,28.64,1.55,265.22,75.79,35.59,1595.00,72.00,0.33,0.10,37.47523235587056,28.64,0.07790398471503808,0.09723370120083621
Eagle 100 Ah Li,KDE5215XF-435,27x10_3_2000_51_80,35,100,0.36,0.218,206.48,1971.75,33.30,81.17,20.38,32527.99,976.82,13.62,94.22,899.71,8.14,30.06,4.28,1678.95,206.22,25.28,56.65,540.97,3.48,30.06,1.55,263.41,75.79,35.16,1595.00,72.00,0.33,0.10,37.65923235587056,30.06,0.08136703782302585,0.0969838037047813
Eagle 100 Ah Li,KDE5215XF-435,27x10_4_2000_51_80,35,100,0.36,0.265,204.87,1956.36,33.30,82.29,20.41,32567.99,978.02,13.51,93.43,892.14,8.13,30.96,4.28,1678.95,206.47,25.10,56.13,536.03,3.46,30.96,1.55,262.55,75.79,34.95,1595.00,72.00,0.33,0.10,37.84723235587056,30.96,0.08338689796594244,0.09686637283866906
Eagle 100 Ah Li,KDE5215XF-435,27x10_5_2000_51_90,35,100,0.36,0.321,192.19,1835.30,33.30,82.77,20.61,32882.67,987.47,12.68,87.61,836.57,8.06,35.37,4.32,1678.95,208.34,23.75,52.40,500.37,3.38,35.36,1.55,256.34,75.79,33.42,1595.00,72.00,0.33,0.10,38.071232355870556,35.36,0.09467739802776069,0.2638870563398865
Eagle 100 Ah Li,KDE5215XF-435,27x10_6_2000_51_90,35,100,0.36,0.368,191.59,1829.51,33.30,83.56,20.62,32897.73,987.92,12.64,87.27,833.39,8.05,35.93,4.33,1678.95,208.45,23.67,52.17,498.17,3.38,35.90,1.55,255.96,75.79,33.32,1595.00,72.00,0.33,0.10,38.25923235587056,35.9,0.09565092829580064,0.2638870563398865
Eagle 100 Ah Li,KDE5215XF-435,27x11_2_1800_51_70,35,100,0.36,0.189,189.05,1805.34,33.30,75.93,20.66,32960.55,989.81,12.47,86.31,824.19,8.04,27.17,4.33,1678.95,208.76,23.44,51.60,492.73,3.36,27.17,1.55,255.01,75.79,33.08,1595.00,72.00,0.33,0.10,37.54323235587056,27.17,0.07377156041306969,0.09580379383023568
Eagle 100 Ah Li,KDE5215XF-435,27x11_3_1800_51_70,35,100,0.36,0.235,185.31,1769.56,33.30,76.72,20.71,33053.56,992.60,12.22,84.55,807.35,8.02,28.57,4.34,1678.95,209.33,23.03,50.46,481.87,3.34,28.55,1.55,253.12,75.79,32.59,1595.00,72.00,0.33,0.10,37.727232355870555,28.55,0.07714044829118713,0.2638870563398865
Eagle 100 Ah Li,KDE5215XF-435,27x11_4_1800_51_70,35,100,0.36,0.281,183.54,1752.65,33.30,77.65,20.74,33097.50,993.92,12.11,83.70,799.25,8.01,29.48,4.35,1678.95,209.60,22.83,49.92,476.69,3.33,29.46,1.55,252.21,75.79,32.36,1595.00,72.00,0.33,0.10,37.91123235587056,29.46,0.07921288539992584,0.2638870563398865
Eagle 100 Ah Li,KDE5215XF-435,27x11_5_1800_51_70,35,100,0.36,0.328,182.49,1742.68,33.30,78.44,20.76,33123.43,994.70,12.04,83.19,794.39,8.00,30.12,4.35,1678.95,209.77,22.71,49.59,473.50,3.32,30.10,1.55,251.66,75.79,32.21,1595.00,72.00,0.33,0.10,38.099232355870555,30.1,0.08053436948004117,0.2638870563398865
Eagle 100 Ah Li,KDE5215XF-435,27x11_6_1800_51_80,35,100,0.36,0.389,170.18,1625.12,33.30,78.63,20.95,33429.00,1003.87,11.23,77.53,740.39,7.93,34.73,4.39,1678.95,211.61,21.35,46.00,439.31,3.24,34.73,1.55,245.70,75.79,30.61,1595.00,72.00,0.33,0.10,38.343232355870555,34.73,0.09233089695777423,0.09451349180095459
