        62x26_2_600_41_220                                 (62x26_2_600_41_220.dat)

         PROP RPM =       300

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3331      0.7209       1.434     301.191      14.107  
         4.5        0.25      0.1208      0.3494      0.7346       1.462     306.944      14.792  
         8.9        0.51      0.2446      0.3733      0.7754       1.542     324.026      15.806  
        13.4        0.76      0.3663      0.4031      0.8384       1.668     350.313      17.065  
        17.9        1.02      0.4767      0.4294      0.9150       1.820     382.352      18.178  
        22.4        1.27      0.5736      0.4461      0.9874       1.963     412.533      18.884  
        26.8        1.52      0.6527      0.4453      1.0400       2.068     434.572      18.859  
        31.3        1.78      0.7214      0.4279      1.0548       2.097     440.679      18.122  
        35.8        2.03      0.7765      0.3938      1.0308       2.050     430.677      16.681  
        40.3        2.29      0.8151      0.3492      0.9793       1.947     409.170      14.786  
        44.7        2.54      0.8474      0.3017      0.9043       1.798     377.838      12.776  
        49.2        2.79      0.8731      0.2513      0.8042       1.600     336.063      10.642  
        53.7        3.05      0.8907      0.1980      0.6775       1.348     283.047       8.383  
        58.2        3.30      0.8939      0.1416      0.5230       1.040     218.525       5.996  
        62.6        3.56      0.8595      0.0821      0.3395       0.675     141.877       3.473  
        67.1        3.81      0.5848      0.0194      0.1261       0.251      52.715       0.820  



         PROP RPM =       360

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3332      0.7201       2.474     433.244      20.320  
         4.5        0.21      0.1004      0.3463      0.7298       2.508     439.086      21.112  
         8.9        0.42      0.2039      0.3647      0.7574       2.603     455.725      22.238  
        13.4        0.64      0.3068      0.3884      0.8037       2.763     483.605      23.672  
        17.9        0.85      0.4034      0.4124      0.8654       2.974     520.689      25.134  
        22.4        1.06      0.4932      0.4329      0.9290       3.193     559.013      26.393  
        26.8        1.27      0.5746      0.4465      0.9868       3.391     593.708      27.224  
        31.3        1.48      0.6433      0.4480      1.0319       3.547     620.880      27.314  
        35.8        1.69      0.7004      0.4360      1.0541       3.622     634.244      26.595  
        40.3        1.90      0.7505      0.4132      1.0485       3.603     630.881      25.179  
        44.7        2.12      0.7911      0.3799      1.0165       3.493     611.587      23.155  
        49.2        2.33      0.8219      0.3420      0.9689       3.330     582.910      20.853  
        53.7        2.54      0.8484      0.3022      0.9047       3.110     544.321      18.428  
        58.2        2.75      0.8707      0.2605      0.8231       2.828     495.288      15.881  
        62.6        2.96      0.8877      0.2166      0.7231       2.485     435.103      13.208  
        67.1        3.18      0.8973      0.1707      0.6039       2.076     363.412      10.409  
        71.6        3.39      0.8929      0.1226      0.4651       1.598     279.861       7.477  
        76.1        3.60      0.8516      0.0724      0.3059       1.051     184.007       4.413  
        80.5        3.81      0.6042      0.0199      0.1257       0.432      75.621       1.215  



         PROP RPM =       420

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3333      0.7195       3.927     589.194      27.674  
         4.5        0.18      0.0859      0.3442      0.7268       3.967     595.213      28.573  
         8.9        0.36      0.1745      0.3591      0.7466       4.075     611.498      29.810  
        13.4        0.54      0.2628      0.3777      0.7822       4.268     640.528      31.338  
