        62x34_3_400_36_110                                 (62x34_3_400_36_110.dat)

         PROP RPM =       200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3292      0.9636       0.568     178.962       6.193  
         4.5        0.38      0.1402      0.3586      0.9745       0.574     180.998       6.749  
         8.9        0.76      0.2930      0.4073      1.0591       0.624     196.664       7.664  
        13.4        1.14      0.4341      0.4670      1.2298       0.724     228.261       8.786  
        17.9        1.52      0.5570      0.5190      1.4197       0.837     263.752       9.768  
        22.4        1.90      0.6542      0.5376      1.5646       0.922     290.570      10.114  
        26.8        2.29      0.7314      0.5077      1.5866       0.935     294.641       9.552  
        31.3        2.67      0.7792      0.4511      1.5439       0.910     286.676       8.489  
        35.8        3.05      0.8184      0.3907      1.4550       0.857     270.125       7.351  
        40.3        3.43      0.8491      0.3256      1.3150       0.775     244.192       6.126  
        44.7        3.81      0.8694      0.2558      1.1212       0.661     208.258       4.815  
        49.2        4.19      0.8716      0.1812      0.8714       0.514     161.880       3.410  
        53.7        4.57      0.8245      0.1016      0.5636       0.332     104.704       1.913  
        58.2        4.95      0.4274      0.0169      0.1959       0.115      36.385       0.318  



         PROP RPM =       240

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3293      0.9625       0.980     257.380       8.925  
         4.5        0.32      0.1157      0.3525      0.9672       0.985     258.619       9.552  
         8.9        0.64      0.2427      0.3895      1.0196       1.038     272.691      10.559  
        13.4        0.95      0.3669      0.4368      1.1342       1.155     303.315      11.841  
        17.9        1.27      0.4783      0.4868      1.2919       1.316     345.622      13.190  
        22.4        1.59      0.5738      0.5244      1.4514       1.478     388.105      14.217  
        26.8        1.90      0.6558      0.5383      1.5634       1.593     418.198      14.590  
        31.3        2.22      0.7240      0.5174      1.5890       1.619     424.924      14.026  
        35.8        2.54      0.7657      0.4713      1.5634       1.592     417.932      12.767  
        40.3        2.86      0.8012      0.4221      1.5050       1.533     402.532      11.438  
        44.7        3.18      0.8311      0.3701      1.4136       1.440     378.104      10.031  
        49.2        3.49      0.8552      0.3150      1.2858       1.310     344.028       8.536  
        53.7        3.81      0.8721      0.2567      1.1212       1.142     299.863       6.956  
        58.2        4.13      0.8774      0.1949      0.9170       0.934     245.166       5.283  
        62.6        4.45      0.8578      0.1298      0.6724       0.685     179.847       3.516  
        67.1        4.76      0.7523      0.0611      0.3866       0.394     103.377       1.655  



         PROP RPM =       280

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3294      0.9617       1.556     350.047      12.151  
         4.5        0.27      0.0985      0.3484      0.9630       1.557     350.490      12.852  
         8.9        0.54      0.2062      0.3780      0.9976       1.613     363.058      13.943  
        13.4        0.82      0.3158      0.4163      1.0758       1.739     391.557      15.350  
        17.9        1.09      0.4180      0.4597      1.1969       1.935     435.634      16.951  
        22.4        1.36      0.5095      0.5004      1.3369       2.162     486.526      18.461  
        26.8        1.63      0.5890      0.5298      1.4684       2.375     534.585      19.540  
        31.3        1.90      0.6571      0.5391      1.5634       2.528     568.926      19.889  
        35.8        2.18      0.7186      0.5248      1.5902       2.571     578.750      19.358  
        40.3        2.45      0.7555      0.4852      1.5732       2.544     572.732      17.902  
        44.7        2.72      0.7877      0.4442      1.5342       2.481     558.394      16.380  
        49.2        2.99      0.8158      0.4008      1.4709       2.378     535.293      14.783  
        53.7        3.27      0.8399      0.3553      1.3820       2.234     502.899      13.106  
        58.2        3.54      0.8597      0.3075      1.2651       2.046     460.593      11.344  
        62.6        3.81      0.8742      0.2574      1.1215       1.813     408.196       9.491  
        67.1        4.08      0.8808      0.2047      0.9488       1.534     345.356       7.551  
        71.6        4.35      0.8724      0.1496      0.7465       1.207     271.718       5.517  
        76.1        4.63      0.8266      0.0919      0.5140       0.831     187.105       3.388  
        80.5        4.90      0.6155      0.0315      0.2507       0.405      91.251       1.162  



         PROP RPM =       320

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3295      0.9609       2.320     456.787      15.874  
         4.5        0.24      0.0857      0.3456      0.9606       2.319     456.610      16.652  
