        55x10_5_2000_51_900                                 (55x10_5_2000_51_900.dat)

         PROP RPM =       1000

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2663      0.2312       9.359     589.814      77.582  
         4.5        0.09      0.0981      0.2676      0.2344       9.486     597.868      77.964  
         8.9        0.17      0.1960      0.2686      0.2354       9.524     600.258      78.256  
        13.4        0.26      0.2886      0.2680      0.2393       9.681     610.170      78.076  
        17.9        0.34      0.3756      0.2660      0.2434       9.847     620.614      77.514  
        22.4        0.43      0.4560      0.2626      0.2473      10.009     630.881      76.503  
        26.8        0.52      0.5289      0.2575      0.2508      10.153     639.820      75.019  
        31.3        0.60      0.5979      0.2506      0.2520      10.200     642.830      73.018  
        35.8        0.69      0.6552      0.2412      0.2530      10.239     645.308      70.298  
        40.3        0.77      0.7081      0.2298      0.2510      10.153     639.909      66.971  
        44.7        0.86      0.7534      0.2160      0.2463       9.968     628.226      62.947  
        49.2        0.94      0.7934      0.2003      0.2385       9.650     608.223      58.338  
        53.7        1.03      0.8262      0.1823      0.2275       9.203     579.989      53.122  
        58.2        1.12      0.8540      0.1626      0.2125       8.600     542.020      47.367  
        62.6        1.20      0.8753      0.1418      0.1948       7.883     496.792      41.320  
        67.1        1.29      0.8922      0.1205      0.1740       7.043     443.953      35.115  
        71.6        1.37      0.9038      0.0988      0.1501       6.076     382.972      28.776  
        76.1        1.46      0.9082      0.0765      0.1230       4.978     313.759      22.292  
        80.5        1.55      0.8991      0.0538      0.0925       3.743     235.872      15.671  
        85.0        1.63      0.8532      0.0306      0.0585       2.368     149.224       8.914  
        89.5        1.72      0.5674      0.0069      0.0210       0.849      53.520       2.019  



         PROP RPM =       1200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
