        69x39_6_400_41_190                                 (69x39_6_400_41_190.dat)

         PROP RPM =       200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3863      1.1531       1.160     365.624      11.153  
         4.5        0.34      0.1223      0.4159      1.1637       1.171     368.899      12.003  
         8.9        0.68      0.2561      0.4624      1.2359       1.243     391.823      13.345  
        13.4        1.03      0.3848      0.5205      1.3893       1.399     440.590      15.033  
        17.9        1.37      0.5015      0.5833      1.5926       1.603     504.935      16.840  
        22.4        1.71      0.5959      0.6217      1.7850       1.796     566.005      17.944  
        26.8        2.05      0.6769      0.6232      1.8910       1.903     599.550      17.989  
        31.3        2.40      0.7367      0.5783      1.8812       1.892     596.363      16.694  
        35.8        2.74      0.7773      0.5166      1.8203       1.832     577.069      14.916  
        40.3        3.08      0.8111      0.4519      1.7168       1.727     544.232      13.046  
        44.7        3.42      0.8381      0.3837      1.5671       1.577     496.969      11.079  
        49.2        3.77      0.8571      0.3120      1.3710       1.380     434.660       9.008  
        53.7        4.11      0.8636      0.2367      1.1257       1.132     356.862       6.832  
        58.2        4.45      0.8437      0.1574      0.8305       0.836     263.310       4.546  
        62.6        4.79      0.7345      0.0743      0.4846       0.488     153.649       2.144  



         PROP RPM =       240

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3865      1.1516       2.002     525.734      16.067  
         4.5        0.29      0.1011      0.4101      1.1566       2.010     528.036      17.041  
         8.9        0.57      0.2115      0.4453      1.2015       2.089     548.569      18.520  
        13.4        0.86      0.3234      0.4911      1.2992       2.260     593.354      20.417  
        17.9        1.14      0.4269      0.5434      1.4526       2.525     663.009      22.593  
        22.4        1.43      0.5187      0.5914      1.6267       2.828     742.755      24.594  
        26.8        1.71      0.5977      0.6228      1.7838       3.100     814.269      25.898  
        31.3        2.00      0.6644      0.6263      1.8824       3.272     859.230      26.033  
        35.8        2.28      0.7232      0.5996      1.8910       3.288     863.567      24.909  
        40.3        2.57      0.7595      0.5488      1.8556       3.226     847.193      22.818  
        44.7        2.85      0.7909      0.4965      1.7911       3.113     817.543      20.637  
        49.2        3.14      0.8178      0.4418      1.6949       2.948     773.909      18.365  
        53.7        3.42      0.8401      0.3847      1.5683       2.725     715.671      15.993  
        58.2        3.71      0.8573      0.3253      1.4076       2.446     642.476      13.522  
        62.6        3.99      0.8671      0.2633      1.2130       2.108     553.791      10.948  
        67.1        4.28      0.8644      0.1988      0.9842       1.711     449.264       8.264  
        71.6        4.56      0.8337      0.1315      0.7203       1.252     328.894       5.470  
        76.1        4.85      0.7091      0.0615      0.4211       0.732     192.238       2.558  



         PROP RPM =       280

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3866      1.1504       3.176     714.875      21.878  
         4.5        0.24      0.0861      0.4062      1.1525       3.182     716.114      22.975  
         8.9        0.49      0.1797      0.4345      1.1823       3.264     734.612      24.572  
        13.4        0.73      0.2767      0.4709      1.2493       3.448     776.033      26.662  
        17.9        0.98      0.3696      0.5132      1.3589       3.749     844.007      29.045  
        22.4        1.22      0.4539      0.5581      1.5038       4.150     933.754      31.586  
        26.8        1.47      0.5304      0.5973      1.6523       4.561    1026.687      33.789  
        31.3        1.71      0.5992      0.6240      1.7826       4.920    1107.228      35.295  
        35.8        1.96      0.6592      0.6302      1.8703       5.164    1162.103      35.677  
        40.3        2.20      0.7109      0.6128      1.8970       5.237    1178.919      34.666  
        44.7        2.45      0.7458      0.5717      1.8751       5.175    1164.758      32.350  
        49.2        2.69      0.7747      0.5275      1.8313       5.057    1138.206      29.855  
        53.7        2.93      0.8002      0.4818      1.7668       4.879    1098.378      27.269  
        58.2        3.18      0.8225      0.4345      1.6791       4.636    1043.503      24.594  
        62.6        3.42      0.8417      0.3856      1.5683       4.330     974.467      21.818  
        67.1        3.67      0.8571      0.3348      1.4331       3.956     890.385      18.945  
        71.6        3.91      0.8678      0.2822      1.2724       3.512     790.637      15.970  
        76.1        4.16      0.8713      0.2278      1.0868       3.000     675.312      12.888  
        80.5        4.40      0.8617      0.1714      0.8755       2.417     544.055       9.698  
        85.0        4.65      0.8228      0.1130      0.6383       1.762     396.602       6.396  
        89.5        4.89      0.6862      0.0526      0.3747       1.034     232.863       2.974  



         PROP RPM =       320

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3868      1.1494       4.736     932.869      28.596  
         4.5        0.21      0.0750      0.4031      1.1499       4.738     932.869      29.810  
         8.9        0.43      0.1560      0.4267      1.1705       4.824     949.685      31.541  
        13.4        0.64      0.2408      0.4570      1.2176       5.018     988.628      33.766  
        17.9        0.86      0.3247      0.4918      1.2968       5.344    1052.354      36.352  
        22.4        1.07      0.4026      0.5302      1.4100       5.808    1143.516      39.207  
        26.8        1.28      0.4769      0.5705      1.5354       6.328    1246.185      42.152  
        31.3        1.50      0.5434      0.6042      1.6657       6.862    1351.509      44.647  
        35.8        1.71      0.6003      0.6248      1.7814       7.341    1445.327      46.176  
        40.3        1.93      0.6515      0.6302      1.8629       7.677    1512.592      46.580  
        44.7        2.14      0.6991      0.6197      1.8970       7.815    1539.145      45.794  
        49.2        2.35      0.7351      0.5887      1.8861       7.770    1530.294      43.523  
        53.7        2.57      0.7616      0.5507      1.8569       7.651    1506.397      40.690  
        58.2        2.78      0.7855      0.5112      1.8106       7.463    1470.109      37.790  
        62.6        3.00      0.8070      0.4709      1.7485       7.204    1418.775      34.800  
        67.1        3.21      0.8261      0.4294      1.6681       6.873    1353.279      31.721  
        71.6        3.42      0.8429      0.3863      1.5695       6.466    1273.622      28.551  
        76.1        3.64      0.8569      0.3421      1.4514       5.984    1178.034      25.291  
        80.5        3.85      0.8676      0.2964      1.3162       5.422    1068.285      21.905  
        85.0        4.07      0.8737      0.2493      1.1601       4.781     941.719      18.425  
        89.5        4.28      0.8723      0.2008      0.9849       4.059     799.399      14.837  
        94.0        4.49      0.8574      0.1507      0.7899       3.255     641.060      11.139  
        98.4        4.71      0.8117      0.0991      0.5748       2.368     466.523       7.324  
       102.9        4.92      0.6656      0.0459      0.3396       1.399     275.524       3.395  



         PROP RPM =       360

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3869      1.1487       6.740    1179.804      36.194  
         4.5        0.19      0.0665      0.4011      1.1481       6.736    1178.919      37.521  
         8.9        0.38      0.1377      0.4209      1.1629       6.823    1194.851      39.387  
        13.4        0.57      0.2126      0.4465      1.1978       7.028    1230.254      41.747  
        17.9        0.76      0.2883      0.4759      1.2566       7.372    1290.439      44.535  
        22.4        0.95      0.3610      0.5093      1.3418       7.870    1378.061      47.615  
        26.8        1.14      0.4295      0.5449      1.4477       8.495    1486.925      50.964  
        31.3        1.33      0.4915      0.5783      1.5659       9.189    1608.181      54.067  
        35.8        1.52      0.5501      0.6069      1.6791       9.851    1725.010      56.787  
        40.3        1.71      0.6012      0.6256      1.7802      10.448    1829.449      58.495  
        44.7        1.90      0.6483      0.6325      1.8556      10.885    1905.566      59.147  
        49.2        2.09      0.6909      0.6252      1.8934      11.110    1945.394      58.495  
        53.7        2.28      0.7264      0.6023      1.8922      11.102    1943.624      56.337  
        58.2        2.47      0.7509      0.5686      1.8727      10.984    1923.267      53.190  
