        55x32_5_600_51_160                                 (55x32_5_600_51_160.dat)

         PROP RPM =       300

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3369      1.0597       1.158     243.219       8.833  
         4.5        0.29      0.0966      0.3570      1.0582       1.156     242.953       9.361  
         8.9        0.57      0.2039      0.3887      1.0923       1.194     250.742      10.197  
        13.4        0.86      0.3149      0.4306      1.1744       1.283     269.594      11.290  
        17.9        1.15      0.4177      0.4783      1.3114       1.432     301.014      12.542  
        22.4        1.43      0.5096      0.5271      1.4806       1.617     339.780      13.819  
        26.8        1.72      0.5906      0.5647      1.6426       1.794     377.042      14.806  
        31.3        2.00      0.6587      0.5787      1.7607       1.923     404.037      15.170  
        35.8        2.29      0.7217      0.5659      1.7960       1.963     412.356      14.842  
        40.3        2.58      0.7573      0.5213      1.7741       1.939     407.311      13.675  
        44.7        2.86      0.7881      0.4752      1.7266       1.887     396.425      12.463  
        49.2        3.15      0.8145      0.4271      1.6523       1.805     379.254      11.204  
        53.7        3.44      0.8365      0.3773      1.5500       1.692     355.623       9.892  
        58.2        3.72      0.8539      0.3251      1.4173       1.549     325.265       8.525  
        62.6        4.01      0.8652      0.2708      1.2541       1.371     287.915       7.099  
        67.1        4.29      0.8671      0.2141      1.0608       1.159     243.484       5.616  
        71.6        4.58      0.8511      0.1552      0.8354       0.913     191.796       4.069  
        76.1        4.87      0.7904      0.0938      0.5779       0.631     132.673       2.462  
        80.5        5.15      0.5370      0.0300      0.2878       0.314      66.071       0.787  



         PROP RPM =       360

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3370      1.0585       1.998     349.870      12.726  
         4.5        0.24      0.0798      0.3530      1.0551       1.991     348.719      13.331  
         8.9        0.48      0.1676      0.3773      1.0745       2.029     355.180      14.246  
        13.4        0.72      0.2603      0.4093      1.1251       2.124     371.820      15.449  
        17.9        0.95      0.3518      0.4465      1.2119       2.288     400.585      16.865  
        22.4        1.19      0.4346      0.4872      1.3382       2.525     442.095      18.398  
        26.8        1.43      0.5112      0.5279      1.4782       2.791     488.650      19.934  
        31.3        1.67      0.5780      0.5597      1.6182       3.055     534.762      21.141  
        35.8        1.91      0.6374      0.5771      1.7290       3.264     571.404      21.797  
        40.3        2.15      0.6925      0.5771      1.7887       3.378     591.407      21.786  
