        62x20_4_400_21_90                                 (62x20_4_400_21_90.dat)

         PROP RPM =       200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3466      0.5810       0.342     107.891       6.524  
         4.5        0.38      0.2279      0.3706      0.6196       0.365     115.060       6.976  
         8.9        0.76      0.4465      0.4011      0.6848       0.404     127.185       7.551  
        13.4        1.14      0.6206      0.4042      0.7442       0.439     138.249       7.605  
        17.9        1.52      0.7456      0.3648      0.7458       0.439     138.514       6.866  
        22.4        1.90      0.8302      0.2892      0.6635       0.391     123.202       5.443  
        26.8        2.29      0.8751      0.1977      0.5164       0.304      95.942       3.721  
        31.3        2.67      0.8644      0.0992      0.3061       0.180      56.848       1.867  



         PROP RPM =       240

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3468      0.5795       0.590     154.977       9.399  
         4.5        0.32      0.1911      0.3659      0.6080       0.619     162.588       9.916  
         8.9        0.64      0.3759      0.3922      0.6625       0.675     177.192      10.629  
        13.4        0.95      0.5426      0.4081      0.7167       0.730     191.707      11.063  
        17.9        1.27      0.6703      0.3969      0.7516       0.765     201.000      10.753  
        22.4        1.59      0.7637      0.3548      0.7374       0.751     197.195       9.613  
        26.8        1.90      0.8323      0.2897      0.6630       0.675     177.280       7.850  
        31.3        2.22      0.8726      0.2139      0.5448       0.555     145.683       5.796  
        35.8        2.54      0.8843      0.1333      0.3829       0.390     102.403       3.613  
        40.3        2.86      0.7810      0.0478      0.1750       0.178      46.803       1.296  



         PROP RPM =       280

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3469      0.5782       0.935     210.471      12.796  
         4.5        0.27      0.1644      0.3627      0.6004       0.971     218.525      13.381  
         8.9        0.54      0.3275      0.3862      0.6418       1.038     233.571      14.246  
        13.4        0.82      0.4755      0.4039      0.6936       1.121     252.423      14.898  
        17.9        1.09      0.6011      0.4070      0.7367       1.191     268.089      15.006  
        22.4        1.36      0.7009      0.3880      0.7531       1.218     274.108      14.311  
        26.8        1.63      0.7771      0.3473      0.7298       1.180     265.611      12.812  
        31.3        1.90      0.8340      0.2901      0.6627       1.072     241.183      10.703  
        35.8        2.18      0.8701      0.2254      0.5640       0.912     205.249       8.313  
        40.3        2.45      0.8884      0.1572      0.4335       0.701     157.720       5.800  
        44.7        2.72      0.8638      0.0855      0.2693       0.436      98.066       3.154  
        49.2        2.99      0.4303      0.0101      0.0705       0.114      25.667       0.374  



         PROP RPM =       320

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
