        48x16_5_1200_51_330                                 (48x16_5_1200_51_330.dat)

         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3865      0.6731       2.978     312.874      23.515  
         4.5        0.16      0.0949      0.3965      0.6854       3.033     318.627      24.122  
         8.9        0.33      0.1898      0.4093      0.7073       3.130     328.805      24.909  
        13.4        0.49      0.2838      0.4252      0.7376       3.264     342.878      25.876  
        17.9        0.66      0.3737      0.4407      0.7738       3.425     359.694      26.820  
        22.4        0.82      0.4607      0.4539      0.8083       3.577     375.714      27.629  
        26.8        0.98      0.5351      0.4597      0.8454       3.741     392.973      27.966  
        31.3        1.15      0.6039      0.4585      0.8717       3.858     405.187      27.899  
        35.8        1.31      0.6660      0.4492      0.8853       3.918     411.560      27.337  
        40.3        1.48      0.7152      0.4298      0.8869       3.925     412.268      26.145  
        44.7        1.64      0.7590      0.4027      0.8707       3.853     404.745      24.504  
        49.2        1.80      0.7990      0.3705      0.8369       3.704     388.990      22.548  
        53.7        1.97      0.8277      0.3310      0.7871       3.483     365.890      20.138  
        58.2        2.13      0.8512      0.2897      0.7258       3.212     337.390      17.630  
        62.6        2.30      0.8702      0.2472      0.6524       2.887     303.227      15.040  
        67.1        2.46      0.8834      0.2033      0.5664       2.506     263.310      12.373  
        71.6        2.62      0.8879      0.1581      0.4674       2.069     217.286       9.622  
        76.1        2.79      0.8759      0.1116      0.3552       1.572     165.155       6.789  
        80.5        2.95      0.8184      0.0636      0.2295       1.015     106.651       3.869  
        85.0        3.12      0.4918      0.0142      0.0899       0.398      41.793       0.863  



         PROP RPM =       720

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3867      0.6718       5.137     449.706      33.879  
         4.5        0.14      0.0792      0.3949      0.6814       5.210     456.079      34.598  
         8.9        0.27      0.1588      0.4050      0.6972       5.332     466.700      35.475  
        13.4        0.41      0.2372      0.4170      0.7211       5.514     482.720      36.531  
        17.9        0.55      0.3144      0.4306      0.7492       5.729     501.483      37.745  
        22.4        0.68      0.3886      0.4434      0.7800       5.965     522.106      38.847  
        26.8        0.82      0.4619      0.4546      0.8072       6.173     540.250      39.836  
        31.3        0.96      0.5254      0.4601      0.8376       6.405     560.695      40.286  
        35.8        1.09      0.5861      0.4612      0.8610       6.583     576.272      40.421  
        40.3        1.23      0.6394      0.4566      0.8786       6.719     588.132      40.016  
        44.7        1.37      0.6828      0.4442      0.8889       6.798     595.036      38.914  
        49.2        1.50      0.7259      0.4275      0.8852       6.769     592.557      37.453  
        53.7        1.64      0.7604      0.4039      0.8711       6.661     583.087      35.385  
        58.2        1.78      0.7926      0.3766      0.8445       6.458     565.297      33.002  
        62.6        1.91      0.8203      0.3453      0.8057       6.161     539.276      30.259  
        67.1        2.05      0.8415      0.3113      0.7587       5.801     507.856      27.292  
        71.6        2.19      0.8597      0.2765      0.7034       5.379     470.860      24.234  
        76.1        2.32      0.8747      0.2408      0.6396       4.891     428.111      21.096  
        80.5        2.46      0.8858      0.2041      0.5669       4.336     379.520      17.884  
        85.0        2.60      0.8912      0.1665      0.4852       3.711     324.822      14.588  
        89.5        2.73      0.8872      0.1279      0.3943       3.016     263.929      11.211  
        94.0        2.87      0.8636      0.0884      0.2939       2.248     196.752       7.749  
        98.4        3.01      0.7830      0.0479      0.1841       1.408     123.202       4.199  
       102.9        3.14      0.3120      0.0064      0.0645       0.493      43.147       0.560  



         PROP RPM =       840

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3868      0.6708       8.145     611.144      46.131  
         4.5        0.12      0.0680      0.3938      0.6786       8.239     618.225      46.940  
         8.9        0.23      0.1363      0.4019      0.6909       8.389     629.465      47.929  
        13.4        0.35      0.2042      0.4116      0.7087       8.605     645.662      49.098  
        17.9        0.47      0.2705      0.4228      0.7329       8.899     667.700      50.447  
        22.4        0.59      0.3388      0.4360      0.7538       9.154     686.818      51.998  
        26.8        0.70      0.4028      0.4469      0.7798       9.469     710.449      53.280  
        31.3        0.82      0.4628      0.4550      0.8064       9.793     734.789      54.269  
        35.8        0.94      0.5183      0.4601      0.8324      10.107     758.420      54.898  
        40.3        1.05      0.5688      0.4616      0.8560      10.394     779.839      55.056  
        44.7        1.17      0.6180      0.4601      0.8722      10.591     794.620      54.853  
        49.2        1.29      0.6584      0.4523      0.8852      10.750     806.568      53.932  
