        90x14_3_1400_51_2000                                 (90x14_3_1400_51_2000.dat)

         PROP RPM =       700

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.1701      0.1192      19.418    1748.022     174.182  
         4.5        0.07      0.1059      0.1704      0.1206      19.646    1768.379     174.429  
         8.9        0.15      0.2087      0.1701      0.1222      19.914    1793.161     174.182  
        13.4        0.22      0.3065      0.1693      0.1243      20.236    1822.369     173.328  
        17.9        0.30      0.3978      0.1678      0.1265      20.598    1855.116     171.732  
        22.4        0.37      0.4814      0.1653      0.1288      20.974    1887.864     169.259  
        26.8        0.45      0.5612      0.1620      0.1299      21.161    1904.681     165.887  
        31.3        0.52      0.6275      0.1574      0.1316      21.429    1930.348     161.053  
        35.8        0.60      0.6890      0.1516      0.1320      21.497    1935.658     155.186  
        40.3        0.67      0.7382      0.1442      0.1319      21.470    1933.003     147.632  
        44.7        0.75      0.7828      0.1356      0.1299      21.148    1904.681     138.775  
        49.2        0.82      0.8218      0.1257      0.1261      20.544    1849.806     128.658  
        53.7        0.90      0.8529      0.1144      0.1207      19.659    1769.264     117.081  
        58.2        0.97      0.8786      0.1018      0.1129      18.385    1655.975     104.176  
        62.6        1.05      0.8975      0.0885      0.1035      16.857    1517.903      90.598  
        67.1        1.12      0.9125      0.0750      0.0925      15.060    1355.934      76.772  
        71.6        1.20      0.9230      0.0612      0.0796      12.965    1167.413      62.699  
        76.1        1.27      0.9275      0.0472      0.0649      10.573     952.340      48.356  
        80.5        1.35      0.9210      0.0330      0.0483       7.873     708.856      33.766  
        85.0        1.42      0.8837      0.0185      0.0298       4.857     437.315      18.933  
        89.5        1.50      0.6073      0.0038      0.0093       1.517     136.567       3.860  



         PROP RPM =       840

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.1704      0.1190      33.485    2512.727     251.112  
         4.5        0.06      0.0889      0.1708      0.1200      33.767    2533.969     251.786  
         8.9        0.12      0.1761      0.1708      0.1212      34.116    2559.636     251.786  
        13.4        0.19      0.2573      0.1703      0.1241      34.907    2618.936     250.887  
        17.9        0.25      0.3372      0.1694      0.1255      35.336    2651.684     249.763  
        22.4        0.31      0.4124      0.1680      0.1272      35.819    2687.972     247.740  
        26.8        0.37      0.4823      0.1660      0.1291      36.315    2725.145     244.592  
        31.3        0.44      0.5463      0.1632      0.1308      36.784    2759.663     240.546  
        35.8        0.50      0.6087      0.1600      0.1314      36.972    2773.824     235.825  
        40.3        0.56      0.6602      0.1554      0.1324      37.254    2795.951     229.080  
        44.7        0.62      0.7058      0.1500      0.1328      37.374    2803.916     221.122  
        49.2        0.69      0.7490      0.1438      0.1320      37.146    2787.100     211.972  
        53.7        0.75      0.7835      0.1364      0.1305      36.731    2756.122     201.024  
        58.2        0.81      0.8156      0.1281      0.1276      35.913    2694.167     188.840  
        62.6        0.87      0.8432      0.1189      0.1235      34.732    2605.660     175.351  
        67.1        0.94      0.8685      0.1090      0.1176      33.096    2483.519     160.649  
        71.6        1.00      0.8863      0.0980      0.1106      31.112    2334.827     144.485  
        76.1        1.06      0.9014      0.0869      0.1024      28.805    2161.352     128.029  
        80.5        1.12      0.9138      0.0755      0.0930      26.163    1962.210     111.303  
        85.0        1.19      0.9233      0.0640      0.0823      23.159    1737.401      94.330  
        89.5        1.25      0.9291      0.0523      0.0704      19.793    1485.155      77.087  
        94.0        1.31      0.9294      0.0404      0.0571      16.065    1205.472      59.597  
        98.4        1.37      0.9188      0.0284      0.0425      11.954     896.581      41.837  
       102.9        1.44      0.8778      0.0162      0.0265       7.456     559.367      23.852  
       107.4        1.50      0.6259      0.0038      0.0091       2.561     192.150       5.600  



         PROP RPM =       980

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.1706      0.1189      53.145    3417.273     342.384  
         4.5        0.05      0.0756      0.1709      0.1210      54.083    3478.343     342.834  
         8.9        0.11      0.1503      0.1710      0.1219      54.472    3503.125     343.283  
        13.4        0.16      0.2235      0.1710      0.1230      54.942    3533.218     343.059  
        17.9        0.21      0.2945      0.1707      0.1242      55.491    3568.621     342.384  
        22.4        0.27      0.3585      0.1697      0.1268      56.645    3642.967     340.361  
