        41x11_3_1800_51_300                                 (41x11_3_1800_51_300.dat)

         PROP RPM =       900

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2863      0.3949       2.682     187.813      20.865  
         4.5        0.13      0.0929      0.2915      0.4016       2.728     190.999      21.244  
         8.9        0.26      0.1851      0.2982      0.4124       2.800     196.133      21.730  
        13.4        0.38      0.2762      0.3064      0.4260       2.894     202.594      22.328  
        17.9        0.51      0.3639      0.3142      0.4422       3.003     210.294      22.908  
        22.4        0.64      0.4498      0.3210      0.4568       3.103     217.286      23.403  
        26.8        0.77      0.5244      0.3238      0.4744       3.221     225.606      23.605  
        31.3        0.90      0.5946      0.3232      0.4872       3.308     231.624      23.560  
        35.8        1.02      0.6555      0.3176      0.4963       3.370     236.049      23.155  
        40.3        1.15      0.7105      0.3073      0.4985       3.385     237.023      22.398  
        44.7        1.28      0.7540      0.2910      0.4941       3.355     234.987      21.204  
        49.2        1.41      0.7925      0.2704      0.4805       3.263     228.526      19.705  
        53.7        1.54      0.8256      0.2465      0.4587       3.115     218.171      17.964  
        58.2        1.66      0.8526      0.2197      0.4290       2.913     204.010      16.013  
        62.6        1.79      0.8729      0.1914      0.3930       2.669     186.928      13.949  
        67.1        1.92      0.8888      0.1624      0.3508       2.382     166.837      11.832  
        71.6        2.05      0.8993      0.1325      0.3018       2.050     143.559       9.658  
        76.1        2.18      0.9016      0.1019      0.2461       1.671     117.007       7.430  
        80.5        2.30      0.8875      0.0705      0.1833       1.244      87.127       5.141  
        85.0        2.43      0.8255      0.0384      0.1131       0.768      53.768       2.797  
        89.5        2.56      0.3865      0.0054      0.0355       0.241      16.887       0.391  



         PROP RPM =       1080

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2864      0.3940       4.624     269.771      30.057  
         4.5        0.11      0.0777      0.2906      0.3993       4.686     273.400      30.507  
         8.9        0.21      0.1550      0.2959      0.4073       4.779     278.976      31.046  
        13.4        0.32      0.2310      0.3022      0.4187       4.913     286.764      31.721  
        17.9        0.43      0.3060      0.3092      0.4313       5.061     295.349      32.440  
        22.4        0.53      0.3785      0.3157      0.4449       5.221     304.731      33.137  
        26.8        0.64      0.4509      0.3214      0.4562       5.355     312.520      33.721  
        31.3        0.75      0.5145      0.3242      0.4705       5.521     322.256      34.014  
        35.8        0.85      0.5762      0.3251      0.4816       5.651     329.779      34.126  
        40.3        0.96      0.6275      0.3217      0.4923       5.777     337.125      33.766  
        44.7        1.07      0.6763      0.3155      0.4978       5.841     340.842      33.114  
        49.2        1.17      0.7186      0.3055      0.4989       5.855     341.639      32.058  
        53.7        1.28      0.7553      0.2917      0.4946       5.804     338.718      30.619  
        58.2        1.39      0.7887      0.2751      0.4838       5.677     331.283      28.865  
        62.6        1.49      0.8162      0.2555      0.4676       5.486     320.220      26.820  
        67.1        1.60      0.8423      0.2344      0.4453       5.226     304.997      24.594  
        71.6        1.71      0.8612      0.2111      0.4184       4.909     286.499      22.150  
        76.1        1.81      0.8773      0.1873      0.3872       4.543     265.168      19.653  
        80.5        1.92      0.8905      0.1630      0.3514       4.124     240.652      17.101  
        85.0        2.03      0.9002      0.1381      0.3110       3.650     213.037      14.496  
        89.5        2.13      0.9049      0.1127      0.2658       3.119     182.060      11.832  
        94.0        2.24      0.9015      0.0868      0.2158       2.532     147.719       9.109  
        98.4        2.35      0.8814      0.0603      0.1606       1.885     110.015       6.331  
       102.9        2.45      0.8130      0.0333      0.1004       1.178      68.770       3.491  
       107.4        2.56      0.4127      0.0056      0.0350       0.410      23.950       0.592  



         PROP RPM =       1260

