        41x17_5_1000_46_130                                 (41x17_5_1000_46_130.dat)

         PROP RPM =       500

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.4023      0.8797       1.024     129.132       9.051  
         4.5        0.23      0.1080      0.4190      0.8943       1.041     131.257       9.426  
         8.9        0.46      0.2187      0.4422      0.9323       1.086     136.833       9.950  
        13.4        0.69      0.3258      0.4713      1.0001       1.165     146.834      10.602  
        17.9        0.92      0.4281      0.5015      1.0803       1.258     158.517      11.283  
        22.4        1.15      0.5235      0.5259      1.1580       1.348     169.934      11.832  
        26.8        1.38      0.6005      0.5325      1.2261       1.428     179.936      11.976  
        31.3        1.61      0.6700      0.5228      1.2590       1.466     184.715      11.755  
        35.8        1.84      0.7257      0.4938      1.2541       1.460     184.096      11.106  
        40.3        2.07      0.7726      0.4515      1.2124       1.412     177.989      10.159  
        44.7        2.30      0.8066      0.4008      1.1452       1.334     168.076       9.015  
        49.2        2.54      0.8349      0.3479      1.0562       1.230     155.065       7.823  
        53.7        2.77      0.8571      0.2926      0.9441       1.099     138.603       6.582  
        58.2        3.00      0.8715      0.2351      0.8081       0.941     118.600       5.288  
        62.6        3.23      0.8729      0.1752      0.6475       0.754      95.057       3.941  
        67.1        3.46      0.8450      0.1128      0.4615       0.537      67.744       2.538  
        71.6        3.69      0.7080      0.0479      0.2497       0.291      36.660       1.079  



         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.4027      0.8780       1.767     185.600      13.041  
         4.5        0.19      0.0899      0.4163      0.8887       1.789     187.813      13.480  
         8.9        0.38      0.1824      0.4341      0.9147       1.840     193.300      14.066  
        13.4        0.58      0.2741      0.4566      0.9602       1.932     202.948      14.795  
        17.9        0.77      0.3627      0.4825      1.0222       2.057     216.047      15.631  
        22.4        0.96      0.4482      0.5081      1.0889       2.191     230.119      16.461  
        26.8        1.15      0.5251      0.5267      1.1562       2.327     244.369      17.067  
        31.3        1.34      0.5917      0.5341      1.2137       2.442     256.495      17.304  
        35.8        1.54      0.6514      0.5298      1.2505       2.516     264.195      17.166  
        40.3        1.73      0.7012      0.5112      1.2602       2.536     266.407      16.564  
        44.7        1.92      0.7448      0.4825      1.2444       2.504     262.956      15.629  
        49.2        2.11      0.7804      0.4442      1.2028       2.421     254.193      14.392  
        53.7        2.30      0.8083      0.4019      1.1454       2.305     242.068      13.012  
        58.2        2.50      0.8324      0.3577      1.0730       2.159     226.756      11.587  
        62.6        2.69      0.8525      0.3122      0.9844       1.981     208.081      10.110  
        67.1        2.88      0.8681      0.2650      0.8795       1.770     185.866       8.583  
        71.6        3.07      0.8773      0.2163      0.7575       1.525     160.110       7.005  
        76.1        3.26      0.8760      0.1659      0.6182       1.244     130.637       5.373  
        80.5        3.46      0.8529      0.1138      0.4611       0.928      97.447       3.685  
        85.0        3.65      0.7645      0.0600      0.2861       0.576      60.468       1.941  
        89.5        3.84      0.1789      0.0043      0.0928       0.187      19.622       0.140  



         PROP RPM =       700

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.4027      0.8768       2.801     252.246      17.758  
         4.5        0.16      0.0770      0.4139      0.8850       2.828     254.636      18.257  
         8.9        0.33      0.1562      0.4290      0.9040       2.889     260.035      18.909  
        13.4        0.49      0.2357      0.4469      0.9366       2.992     269.417      19.705  
        17.9        0.66      0.3128      0.4678      0.9848       3.146     283.312      20.626  
        22.4        0.82      0.3870      0.4903      1.0425       3.331     299.952      21.611  
        26.8        0.99      0.4598      0.5112      1.0983       3.509     315.972      22.548  
        31.3        1.15      0.5264      0.5275      1.1552       3.690     332.346      23.268  
        35.8        1.32      0.5814      0.5337      1.2085       3.861     347.657      23.515  
        40.3        1.48      0.6364      0.5333      1.2420       3.967     357.216      23.515  
        44.7        1.65      0.6806      0.5209      1.2602       4.027     362.527      22.975  
        49.2        1.81      0.7210      0.5008      1.2578       4.018     361.730      22.069  
        53.7        1.98      0.7575      0.4736      1.2347       3.947     355.357      20.880  
        58.2        2.14      0.7859      0.4391      1.1961       3.822     344.117      19.365  
        62.6        2.30      0.8095      0.4027      1.1461       3.662     329.690      17.751  
        67.1        2.47      0.8305      0.3649      1.0850       3.467     312.166      16.090  
        71.6        2.63      0.8487      0.3261      1.0121       3.235     291.190      14.379  
        76.1        2.80      0.8638      0.2862      0.9272       2.962     266.761      12.619  
        80.5        2.96      0.8752      0.2451      0.8299       2.651     238.705      10.807  
        85.0        3.13      0.8812      0.2028      0.7199       2.300     207.107       8.943  
        89.5        3.29      0.8786      0.1593      0.5971       1.908     171.793       7.025  
        94.0        3.46      0.8591      0.1146      0.4611       1.474     132.673       5.051  
        98.4        3.62      0.7961      0.0686      0.3118       0.997      89.747       3.021  
       102.9        3.79      0.5384      0.0212      0.1492       0.477      42.917       0.935  



         PROP RPM =       800

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.4031      0.8757       4.177     329.071      23.200  
         4.5        0.14      0.0674      0.4128      0.8824       4.208     331.549      23.762  
         8.9        0.29      0.1365      0.4252      0.8969       4.278     337.036      24.482  
        13.4        0.43      0.2064      0.4399      0.9214       4.395     346.241      25.336  
        17.9        0.58      0.2753      0.4573      0.9573       4.566     359.694      26.348  
        22.4        0.72      0.3431      0.4775      1.0017       4.778     376.422      27.494  
        26.8        0.86      0.4081      0.4969      1.0521       5.018     395.363      28.618  
